timestamp,queue_len,mem_pct,sys_cpu_pct,load_avg,num_running_funcs,num_containers,cpu_us,cpu_sy,cpu_wa,gpu_queue_len
2023-08-05 13:25:33.229134300,0,0.0,1.766933108960875,0.0375,0,0,1.093815734118637,0.6310475389145982,0.04206983592763988,0
2023-08-05 13:25:35.229750450,0,0.0,1.1311269375785504,0.0375,0,0,0.6284038542103059,0.4608294930875576,0.04189359028068705,0
2023-08-05 13:25:37.230427809,0,0.0,1.9271051529116046,0.047499999999999994,0,0,1.2149141181399248,0.41893590280687054,0.2932551319648094,0
2023-08-05 13:25:39.231112461,0,0.0,1.6722408026755855,0.047499999999999994,0,0,0.919732441471572,0.7107023411371237,0.04180602006688963,0
2023-08-05 13:25:41.231714710,0,0.0,1.2965286491007948,0.047499999999999994,0,0,0.6691760769552488,0.3345880384776244,0.2927645336679214,0
2023-08-05 13:25:43.232444251,0,0.0,0.710405348934392,0.049999999999999996,0,0,0.41788549937317176,0.29251984956122024,0.0,0
2023-08-05 13:25:45.233096215,0,0.0,1.0865022983702466,0.049999999999999996,0,0,0.45967404931048894,0.29251984956122024,0.3343083994985374,0
2023-08-05 13:25:47.233433404,0,0.0,0.7963118189438391,0.05333333333333334,0,0,0.5029337803855826,0.2514668901927913,0.041911148365465216,0
2023-08-05 13:25:49.234094741,0,0.0,1.0020876826722338,0.05333333333333334,0,0,0.7515657620041754,0.16701461377870563,0.08350730688935282,0
2023-08-05 13:25:51.234814414,0,0.0,1.1282908483075638,0.05333333333333334,0,0,0.5432511491851233,0.25073129962390306,0.3343083994985374,0
2023-08-05 13:25:53.235405071,0,0.0,0.7124895222129085,0.05583333333333334,0,0,0.4191114836546521,0.2514668901927913,0.041911148365465216,0
2023-08-05 13:25:55.235981735,0,0.0,0.7518796992481203,0.05583333333333334,0,0,0.4177109440267335,0.3341687552213868,0.0,0
2023-08-05 13:25:57.236562468,0,0.0,1.2954450480568325,0.057499999999999996,0,0,0.5850396991224405,0.3760969494358546,0.3343083994985374,0
2023-08-05 13:25:59.237145424,0,0.0,0.8361204013377926,0.057499999999999996,0,0,0.5016722408026756,0.2926421404682274,0.04180602006688963,0
2023-08-05 13:26:01.237656854,0,0.0,0.836470096194061,0.057499999999999996,0,0,0.5018820577164366,0.2927645336679214,0.04182350480970305,0
2023-08-05 13:26:03.238220574,0,0.0,1.6345347862531432,0.05333333333333334,0,0,0.9639564124056998,0.5029337803855826,0.16764459346186086,0
2023-08-05 13:26:05.238939802,0,0.0,0.917813934084272,0.05333333333333334,0,0,0.6257822277847309,0.2920317062995411,0.0,0
2023-08-05 13:26:07.239621765,0,0.0,1.2949039264828737,0.049166666666666664,0,0,0.6265664160401002,0.3341687552213868,0.3341687552213868,0
2023-08-05 13:26:09.240215622,0,0.0,4.6404682274247495,0.049166666666666664,0,0,2.801003344481605,1.7558528428093645,0.08361204013377926,0
2023-08-05 13:26:11.240758029,0,0.0,3.1852472757753563,0.049166666666666664,0,0,2.095557418273261,0.7544006705783739,0.3352891869237217,0
2023-08-05 13:26:13.241315218,0,0.0,2.4686192468619246,0.051666666666666666,0,0,1.4225941422594142,1.00418410041841,0.04184100418410042,0
2023-08-05 13:26:15.241940684,0,0.0,1.719798657718121,0.051666666666666666,0,0,0.6711409395973155,0.7550335570469799,0.2936241610738255,0
2023-08-05 13:26:17.242917430,0,0.0,1.173512154233026,0.05416666666666667,0,0,0.6286672254819782,0.5029337803855826,0.041911148365465216,0
2023-08-05 13:26:19.243590507,0,0.0,1.4632107023411371,0.05416666666666667,0,0,0.6270903010033445,0.7525083612040134,0.08361204013377926,0
2023-08-05 13:26:21.244220822,0,0.0,1.588628762541806,0.05416666666666667,0,0,0.7525083612040134,0.5016722408026756,0.33444816053511706,0
2023-08-05 13:26:23.244726909,0,0.0,2.0502092050209204,0.049999999999999996,0,0,1.3389121338912133,0.6276150627615062,0.08368200836820083,0
2023-08-05 13:26:25.245408263,0,0.0,1.0869565217391306,0.049999999999999996,0,0,0.6270903010033445,0.4180602006688963,0.04180602006688963,0
2023-08-05 13:26:27.246077695,0,0.0,0.794314381270903,0.04583333333333334,0,0,0.5434782608695652,0.2508361204013378,0.0,0
2023-08-05 13:26:29.246673895,0,0.0,2.216645754914262,0.04583333333333334,0,0,1.547469677959013,0.2509410288582183,0.41823504809703055,0
2023-08-05 13:26:31.247208319,0,0.0,0.8368200836820083,0.04583333333333334,0,0,0.502092050209205,0.2928870292887029,0.04184100418410042,0
2023-08-05 13:26:33.247752378,0,0.0,1.0455876202425762,0.041666666666666664,0,0,0.7528230865746549,0.20911752404851527,0.0836470096194061,0
2023-08-05 13:26:35.248195564,0,0.0,0.8368200836820083,0.041666666666666664,0,0,0.5857740585774058,0.2510460251046025,0.0,0
2023-08-05 13:26:37.248898417,0,0.0,2.092925910422771,0.03833333333333334,0,0,1.088321473419841,0.5023022185014651,0.5023022185014651,0
2023-08-05 13:26:39.249598841,0,0.0,0.8368200836820083,0.03833333333333334,0,0,0.502092050209205,0.33472803347280333,0.0,0
2023-08-05 13:26:41.248557090,0,77.2976418100701,22.771855010660982,0.03833333333333334,5,5,14.328358208955224,6.0554371002132195,2.3880597014925375,0
2023-08-05 13:26:43.249121685,0,20.293180369662206,50.41911148365465,0.07583333333333334,3,10,45.51550712489522,3.981559094719195,0.9220452640402346,0
2023-08-05 13:26:45.249963183,0,1.1217335882727852,43.231986672219904,0.07583333333333334,3,11,42.440649729279464,0.7913369429404414,0.0,0
