seconds,VDD_GPU_SOC_current,VDD_CPU_CV_current,VIN_SYS_5V0_current,VDDQ_VDD2_1V8AO_current,tegra,igpm,voltage,current,power_factor,discard,load_avg_1minute,cpu_pct,cpu_pct_process
80449,4.757,0.792,3.711,0.702,9.962,15.946,,,,,2.52,,0.0
80450,4.757,0.792,3.611,0.702,9.903176470588235,15.946,,,,,2.52,,0.0
80451,4.757,0.792,3.623,0.704,9.890767123287672,15.946,,,,,2.52,,0.0
80452,4.757,0.792,3.717,0.703,9.921652585866562,15.946,122.0,0.22278,0.5867,0.0,2.52,1.0,0.0
80453,4.757,0.792,3.711,0.702,9.936202156431431,11.736518752467429,122.08,0.16496,0.4137,0.0,2.52,1.0,0.0
80454,4.757,0.792,3.611,0.702,9.910973367741411,11.788550902365053,122.08,0.1618,0.4054,0.0,2.49,,0.0
80455,4.757,0.792,3.611,0.702,9.894962819964176,11.627626977394826,122.1,0.16595,0.4146,0.0,2.46,,0.0
80456,4.757,0.792,3.617,0.703,9.8866974944044,11.572722674182838,122.1,0.1662,0.4142,0.0,2.4299999999999997,,0.0
80457,4.757,0.792,3.623,0.704,9.883353295598747,10.728820545437442,122.11,0.19403,0.4642,0.0,2.4,1.0,0.0
80458,4.757,0.792,3.617,0.702,9.878613417082718,11.846635335293424,122.07,0.22461,0.5583,0.0,2.4,1.0,0.0
80459,4.757,0.792,3.711,0.702,9.904134017617247,10.424417453896202,122.13,0.16474,0.4104,0.0,2.39,,0.0
80461,4.757,0.792,3.611,0.702,9.891316400005476,13.180017894317066,122.1,0.13518,0.7702,0.0,2.38,,0.0
80462,4.757,0.792,3.611,0.702,9.882435433195262,12.625201643184797,122.07,0.23404,0.5703,0.0,2.37,1.0,0.0
80463,4.757,0.792,3.617,0.703,9.878377279904734,11.780077765337111,122.06,0.19566,0.4781,0.0,2.37,1.0,0.0
80464,4.757,0.792,3.623,0.704,9.877660693897166,10.695445131647771,122.09,0.16218,0.4062,0.0,2.3425000000000002,,0.0
80465,4.757,0.792,3.717,0.702,9.904852853242371,11.069640679406222,122.12,0.16626,0.4125,0.0,2.315,,0.0
80466,4.757,0.792,3.611,0.702,9.891967020891629,10.900003626766505,122.14,0.16409,0.4091,0.0,2.2874999999999996,,0.0
80467,4.757,0.792,3.711,0.702,9.91301118322424,10.246733470454764,122.11,0.16022,0.4103,0.0,2.26,1.0,0.0
80468,4.757,0.792,3.812,0.802,9.98809341370452,10.315556206264583,122.06,0.18143,0.4447,0.0,2.26,1.0,0.0
80469,4.757,0.792,3.623,0.704,9.954438535603206,10.76571944513731,122.04,0.1651,0.4111,0.0,2.375,,0.0
80470,4.757,0.792,3.617,0.703,9.9287926505192,10.691760338776948,122.05,0.17183,0.4073,0.0,2.49,,0.0
80471,4.757,0.792,3.611,0.702,9.908747017879797,11.622765357341919,122.07,0.17943,0.4571,0.0,2.605,,0.0
80472,4.757,0.792,3.711,0.702,9.924727286115097,10.930863462297514,122.02,0.17674,0.4906,0.0,2.72,1.0,0.0
80473,4.757,0.792,3.812,0.702,9.966217048940418,10.668804717297606,122.06,0.17536,0.4853,0.0,2.72,1.0,0.0
80474,4.757,0.792,4.019,0.703,10.057664197948483,10.546008012623151,122.07,0.18362,0.4985,0.0,2.6733333333333333,,0.0
80475,4.757,0.792,4.025,0.704,10.123771144340532,10.379006023830819,122.08,0.17084,0.4729,0.0,2.626666666666667,,0.0
80477,4.757,0.792,4.019,0.703,10.167942703655884,10.833251798611858,122.05,0.17969,0.4932,0.0,2.58,2.0,0.0
80478,4.757,0.792,4.019,0.702,10.198561300973372,10.829635656846708,122.05,0.18808,0.5146,0.0,2.58,2.0,0.0
80479,4.757,0.792,4.019,0.702,10.219993600781216,11.167956361208892,122.08,0.16585,0.41,0.0,2.5475000000000003,,0.0
80480,4.757,0.792,4.019,0.702,10.234995858687846,10.952575122326257,122.06,0.16402,0.4123,0.0,2.515,,0.0
80481,4.757,0.792,3.723,0.704,10.157295875167033,11.339573386870534,122.03,0.16625,0.4115,0.0,2.4825,,0.0
80482,4.757,0.792,3.717,0.703,10.100806488732506,11.312033270187614,122.05,0.1663,0.4402,0.0,2.45,0.0,0.0
80483,4.757,0.792,3.711,0.702,10.059164220176637,11.019082588172044,122.04,0.17087,0.438,0.0,2.45,0.0,0.0
80484,4.757,0.792,3.711,0.702,10.030014796375838,14.004090329420109,122.02,0.23007,0.5839,0.0,2.4225000000000003,,0.0
80485,4.757,0.792,3.711,0.702,10.009610280166966,13.205099188093767,122.04,0.23205,0.5791,0.0,2.395,,0.0
80486,4.757,0.792,3.717,0.703,9.99742716381053,12.913284645061315,122.06,0.23059,0.5788,0.0,2.3674999999999997,,0.0
80488,4.757,0.792,3.623,0.704,9.960998947048893,12.036104035298342,122.05,0.20242,0.5418,0.0,2.34,1.0,0.0
80489,4.757,0.792,3.717,0.702,9.963099265663269,12.337539558875132,122.03,0.22913,0.5843,0.0,2.3125,,0.0
80490,4.757,0.792,3.711,0.702,9.962769485664339,12.62741566808592,122.06,0.22513,0.5699,0.0,2.285,,0.0
