success,function_name,was_cold,worker_duration_us,code_duration_sec,e2e_duration_us,tid
true,image_processing-0,true,3442601,2.55476450920105,3879010,8ace101bto3f72tod50etofbb6to7d92e99f3098
true,image_processing-0,true,3378989,2.5487122535705566,5001858,4c01644dto0cc7to79c1to6c56toc6bf3301ace9
true,video_processing-0,true,5512108,5.068044185638428,7030457,039a2ae1toabcato94c2toe137to84413e3437c6
true,video_processing-0,true,5524056,5.073111057281494,7008528,b4170de0to7d20to5401to5fcdto21acb4f27f7c
true,image_processing-0,true,4729901,3.2169578075408936,5744203,923da32cto6dactod509toc8d5to33f9e18e5364
true,image_processing-0,true,4604724,3.1958529949188232,5001488,7ae20dc8toc697to1249to0a83to337af049d42a
true,model_training-0,true,12603049,11.248013973236084,14662416,422d2c98tof0c0to3e7fto5fc1to16caa36cb3c7
true,image_processing-0,true,3791433,2.5660691261291504,7544659,b54a1905toa03ctoec93to4f38tobaefdd7005e3
true,model_training-0,true,12234424,11.287132740020752,16116749,a65bce01to8ce1to9b9etof3fatod65d35b8ee19
true,video_processing-0,true,6447687,5.147060871124268,10352440,5543c951toc9abto6b84tob061toa94962e9dfd1
true,image_processing-0,false,3379724,2.3065531253814697,3381082,959e04bfto20ffto19bdtoc445tof2df61e4caa0
true,video_processing-0,true,7222952,6.071681976318359,10414193,41205000to7f0eto2776to6d79to9133c64a8112
true,video_processing-0,true,6474760,5.162367820739746,9305941,fee10a0eto8befto550btod909to1cf9923cd824
true,video_processing-0,true,6406567,5.618618726730347,8571112,284dc352to533dto07fcto56e2toc23548117504
true,video_processing-0,true,6049727,5.301836252212524,8407837,6aa61954to3502tobd60to22b1tobd3180bd5d3c
true,image_processing-0,false,3099528,1.9072511196136477,3882421,ef64a327to28a8to4883to2c5fto3e87fbc0812a
true,model_training-0,true,12500542,11.117510557174684,15164203,19fcc8eatoe899tod00cto0b15toa7dc22a33e44
true,image_processing-0,false,3503678,1.9313819408416748,3505961,53c78a2cto2b9eto8ce2to8c21tof1d754ad2234
true,image_processing-0,false,3125912,1.8648176193237305,3127438,77ffa295to6855tob1b6tobc2ftoad07f98d13b5
true,video_processing-0,false,6351199,4.9038426876068115,6352951,049580e8to0fe8to0778to30d0to5cfb3f437faf
true,video_processing-0,false,6078364,4.950362682342529,6512402,c7c22a80to24eatod77atobe30toe8a6bb703d0a
true,video_processing-0,true,6574295,5.268249988555908,8415744,ada1f3fbto1d1cto7040to3d0fto47fadc706fdd
true,image_processing-0,false,3488597,1.908611536026001,5228530,27abf33eto03b3to5267to2668todb93941dc995
true,image_processing-0,false,2976969,1.7918026447296145,5062775,bb335c87to5b22tocf14toe770to9e3c557889c8
true,image_processing-0,false,3723224,1.9138612747192385,5881553,c94383datoc340to8dd3tob443to2959c6773a6a
true,video_processing-0,false,7527736,5.363251686096191,9066988,a8fed34btob43bto4834to5fa0to4a92ad3fcbac
true,image_processing-0,false,4260205,2.229123830795288,5408248,29b5b309tod512tof874to21f2tof552ab47dfc2
true,image_processing-0,false,3742121,2.006063461303711,5249911,ff858776to5f77tof4cbtodfc3toab0f4f4ad1e1
true,image_processing-0,false,3095134,1.8728289604187012,5781788,9af1864dtoe6a0toa25etoff21to94b18b318d55
true,image_processing-0,true,2985200,2.4210879802703857,5663545,a9206997toe003to478ctof346toeaf16bed642a
true,image_processing-0,false,3346552,2.1269240379333496,5461769,ac324ac7to5bd4tob342tob727to89357ae76d8d
true,image_processing-0,true,4538847,3.257300615310669,6099421,39f32476to2e11tocb24to5ad1to2a7ffd3b7368
true,image_processing-0,true,3780283,3.069526433944702,5993714,379e3118to9fa2tod5c8toca5dtoe8babf728163
true,image_processing-0,false,3840849,1.9374330043792725,5425954,0acc7f4ato1d17tof21etod198to7f1192cb5388
true,video_processing-0,false,6392552,4.765477895736694,7829682,fbe35044toaa5ato87e6to5d1dto76887aee00ba
true,video_processing-0,false,6351408,5.020366907119751,7611938,eb685daetoabbetoe6f4tod896to9c2076890b95
true,video_processing-0,false,6251866,5.093894720077515,7623506,1e849f7cto1885to4b2dto1725tocf139c3702c8
true,video_processing-0,false,5925241,4.959807872772217,7238519,2ad3a31dto5813to8cf3to7ee8toee8f5385a5ee
true,image_processing-0,false,2782848,1.722435474395752,3238795,63136b5ato526atof65cto93abtoc8ee0957df17
true,image_processing-0,false,3852217,2.1603636741638184,4829572,d3a52df3to0650to0734to5fbftoc6ff60d1c7d7
true,video_processing-0,false,5997609,4.7912633419036865,6391568,0d26276bto9e5cto29ectoa2b2to315f7a5f1443
true,image_processing-0,false,3528103,1.7722790241241455,5107826,c39b1323todd72to5fadto00a9to0555948ac814
true,image_processing-0,false,3405722,2.3382601737976074,5245181,8a01f794toecd3toe30fto8990to49a2ec0367ab
true,video_processing-0,false,5552023,4.734971761703491,7148605,ffff4dddtof084to74f0toc6c8to94d1a28888c5
true,image_processing-0,false,2502254,1.754406213760376,3831648,9249270eto6042to4350to853bto8500e2959336
true,image_processing-0,false,3037537,2.134023427963257,3284403,a31c356ctoec01to2d34to74e9to49c8799c2659
true,model_training-0,false,10474216,9.35744833946228,10532697,137a541dtod883toe38dto06d7toe84c9137d0f0
true,video_processing-0,false,7544437,5.4677817821502686,8696283,ec6e0af7toaec3tof398to8eb1to236fbad13894
true,video_processing-0,false,6357956,4.819783449172974,6793874,693ea91bto82e8to54f1toa54fto7bfe9172cad4
true,video_processing-0,true,7415571,6.29114842414856,8554133,8f3d89bbto04b4to1296tob7c2to4f9ff29596b8
true,video_processing-0,false,6543135,4.95629358291626,6768090,591bfcfdto7c4atoc52fto373etof239a5a1c6c4
true,model_training-0,false,9953260,9.028999090194702,9955105,bf42eb21to53adto00dbto3580to68a7ac5f1dee
true,video_processing-0,false,6547945,5.31137228012085,6558162,05a9c4fdto4a98to9bd4tocce9to8fda2db2ad25
true,video_processing-0,false,5719653,4.857973575592041,5721044,1789771etoe56ato32cbto71cbtoae464b278020
true,video_processing-0,false,5689333,4.805195093154907,5690704,3f0ac241to1e82to1ce9tob3f8to5d93e92ddd74
true,image_processing-0,false,4163328,3.109750986099243,4175258,8595c9bdtob99etoeea6to2fa7to1a271dff80f0
true,image_processing-0,false,3321197,1.915714979171753,3322723,b0b3ed22to7155to626dto5337tob877bb2e206f
true,image_processing-0,false,3201223,2.000643014907837,3203511,ce98d8a3to2a83toa7d6to5bd2toee6f653935c3
true,video_processing-0,false,5802418,4.680368185043335,8055986,7c64643dtod266to9c31to74dctof96d0c3b28c2
true,image_processing-0,false,2048942,1.74200439453125,4778725,b54176e1to5795to989fto16f1to0a2f710d3c90
true,model_training-0,false,10261945,9.213796615600586,12740092,b0d3a381to8f94to4562to5b24to632c978daa4d
true,model_training-0,true,12915105,11.415406703948976,15767268,803944c1to0afato8857to64e1to7c83e27b865c
true,video_processing-0,false,6369231,4.949069261550903,8427842,65fd6565to897dto4e7etoaa66to01c70aee0e07
true,video_processing-0,false,7215301,5.595076084136963,8723500,b5de73c3to7d89to43fbto56bato6c076ab0cd4c
true,model_training-0,false,10091220,8.957397937774658,10093059,9d114e18to32a1to841dtob0ebto935a93a19448
true,image_processing-0,false,1980273,1.7227213382720947,1981810,a59c29e6to7175tob3c8tob49eto7e21ee8716b5
true,image_processing-0,false,2733862,1.820140600204468,2734993,cc0bbe74toc663toe406to5c98to54b374586cf2
true,video_processing-0,false,6677603,5.402224540710449,6684066,ee6dac3bto6a42to6118to070fto3de2b1c3e19b
true,video_processing-0,false,5997442,4.7974324226379395,5999044,c5c91f32toe807to3862to6f47to453f2e0701af
true,video_processing-0,false,6019780,4.816121578216553,6021183,d7d3dc77toa8a7to46catoae7bto2c2bf6e25902
true,video_processing-0,false,6041436,4.813831567764282,6051270,72de027ato34adtod07fto9cd3to50b39ae37711
true,video_processing-0,false,6022731,4.800567150115967,6024968,fb555406toca51to6b2atof12ato07c159cf89b3
true,video_processing-0,false,6629414,4.844331741333008,6637063,d5ecd241tod08etof073to1f95tob1ebf49e6992
true,video_processing-0,false,6367191,4.741683006286621,6368613,00dfb7e6to707eto78b5to73b8to994293b6d00b
true,video_processing-0,false,6133577,4.781099081039429,6138466,edac00ccto1c0cto872cto5e89toa8257271fe46
true,video_processing-0,false,6678642,4.872127532958984,7843288,d3d350f3to0828tob06ctoc1ceto558d6d2d8876
true,image_processing-0,false,3616686,1.9085454940795896,5560943,1dbb6590tob32fto9334tocecdto3bbed5185c9b
true,image_processing-0,false,2349913,1.808842420578003,4221458,12fa9a4dto73d9tocafetod7e0to3eb5bc659f28
true,image_processing-0,false,3147907,1.9799425601959229,5661354,9faf8577to08f5to3dd1to8333to0f3dc77f593e
true,image_processing-0,false,2854688,1.8567790985107424,4660009,6e5813fbtof546toda5ato4a56to59bbe56be460
true,image_processing-0,false,3021848,1.89575719833374,4731992,d2713c17to8b81toc31atob47fto5d637538edb8
true,model_training-0,false,13175135,9.93718671798706,14527239,081d9cf0tob87ctoac19toc033tofe3ae0662660
true,video_processing-0,false,7469695,5.071213960647583,9118780,48c3adbftod938to9fa1to7052toad0b6864c8e0
true,video_processing-0,false,7514572,5.106357574462891,8349280,8d527dcato338ftoa58ato7a80to4a1146457094
true,video_processing-0,false,7367102,5.115086317062378,8132664,cca589f4to4ed3tobe9eto559eto2dd200545610
true,image_processing-0,false,2845928,1.7896146774291992,3669465,a19d1f05to7b36tob81ato2317tobfe80c1302d1
true,video_processing-0,false,8783130,5.993227243423462,9252406,c91f2d71tocc0dto2b74to8d8dtof10707b2efa8
true,image_processing-0,false,4399225,1.9693408012390137,4832814,4b79a9fbto9b87to9614to937ctob7a220669845
true,video_processing-0,false,5957086,5.027477979660034,5958476,b926d1f0to8227to9969to55a0to3e10c5c8331f
true,video_processing-0,false,10143329,6.670938730239868,10144476,b9783466to543bto3443to6324to5dd6b6ac1662
true,model_training-0,false,12369290,9.298866510391235,12372858,9133f007to6ebbtod6f3to2e92to937d50252877
true,model_training-0,false,13808638,9.705944061279297,13813359,32c1a99fto45dbtoa361tocc12to268820ac4508
true,image_processing-0,false,2615190,1.915623664855957,2616361,2d65ffb8tof140toa114todfb7to66c989b85320
true,video_processing-0,false,8525504,6.187671899795532,8530312,d586a6b1to397dtoeaeeto1842tod62f8f2c470d
true,model_training-0,false,11760684,9.420095682144163,12415451,e5fbb71dtoc77ctobf5btof9f2to8f5b655f0d6c
true,video_processing-0,false,7155194,5.215231895446777,7929801,fbe5e457to55f9to45e8to4c59to7caeb5181994
true,model_training-0,true,13122274,11.886179447174072,17563523,4ba62a62tofd6dto833etoca2cto8f1109e02e4b
true,video_processing-0,false,8994999,5.960544586181641,9809835,60ef1250to7e0cto9f76to3e5btob1793f574187
true,image_processing-0,false,3077251,1.7609405517578125,3621219,4edf4941toaa15to618ctofa8dtocc24caf838d5
true,image_processing-0,false,5432754,2.126509189605713,5440763,bb73b737toba78to099ctof2eeto16185ead7653
true,model_training-0,true,13252319,12.382091522216797,19345083,69d9bf3etof060tod4e5to72c9to11c7d70bce1b
true,model_training-0,true,14209120,11.791983366012571,21798292,d9530d71to908btoc424to5536toff88fc3a851b
true,image_processing-0,false,3081473,1.8183526992797852,4265976,c5ae27a4to37fdto5c7bto5f55to0f06a3836c70
true,video_processing-0,false,5876436,4.661259174346924,6899144,33271096to5fd9to1871toba51to0326b94f7780
true,image_processing-0,false,4650409,2.1135430335998535,6443895,6f34148eto381ftob67ctoc69ato05a028472a94
true,video_processing-0,false,10100010,5.410503625869751,12261051,c1ae6749to0665to14cbto5dd5tobf4156be7eea
true,model_training-0,false,12802784,9.360671997070313,15679720,945833eeto6a68tof6fetof7abtoc9dfc3c3a261
true,video_processing-0,false,9008652,6.673772573471069,10715590,55801594to157atoda15to3ac5to366869dc0a4b
true,image_processing-0,false,2601322,1.965287446975708,2602423,bfcf186btod094toa500tofba9tod123e0fd56bc
true,video_processing-0,false,7219173,4.915669918060303,7732027,09820866toe931to45e0to2533to9420d0e1c3c0
true,model_training-0,false,12062097,9.19355320930481,12721871,0c9c1bdctobb7dto3964tod8e6to465f3307b275
true,model_training-0,false,11160363,9.420725107192991,12629263,28f30c30to3abbtocafcto01a3to3a871e6c0ea6
true,image_processing-0,false,1961843,1.7238047122955322,2782583,35cda0aeto3e26to94ddto08b9tob88c8a9f0713
true,video_processing-0,false,6964955,4.801517963409424,7525069,36a37a89to2299to73d5toddd0toc617197fbb59
true,image_processing-0,false,2429155,1.6668751239776611,3157794,6c4f4485to4a76tof30eto99abto41fa1fda2019
true,image_processing-0,false,1659592,1.6589727401733398,3554339,2fed5ef0to051etof549to4e76toc74d59ee3bea
true,model_training-0,false,12348736,9.750988006591797,14582533,1e668c48toc555to4d0cto8aa2todf83f0571991
true,video_processing-0,false,10082840,6.628086805343628,12652553,b7c46584to1ddcto4dedto2e0etof55211f937bf
true,video_processing-0,false,5400293,4.8250696659088135,9548459,bc3c4334toba92to9bc7toadfbtofde03d2a379b
true,image_processing-0,false,1650303,1.6494371891021729,4430727,2ce76466to70efto9fb6toe141tod370c3c73361
true,video_processing-0,false,6726345,4.65062952041626,9072599,35af98edto0c06to6e28to4269to55042e497e16
true,video_processing-0,false,6588540,4.644995927810669,8136207,c4618d2cto169ato36a9tod340tofda949c87105
true,video_processing-0,false,9253557,5.169791221618652,11831218,84417f12toab94toe017to7da6tob80459dcba1c
true,video_processing-0,false,9281392,6.167354345321655,10499588,924e605ato5a7bto1353todd1etocb0e6a6156b7
true,video_processing-0,false,8202265,5.222068786621094,10681182,27564e8etoa41cto8603to55dcto6aab8a10a126
true,video_processing-0,false,6952216,4.867657899856567,9991251,d202ad22toe3ebto9b57to0364to482f3df350aa
true,video_processing-0,false,7487563,5.061577796936035,9163045,7d5a9140toc88eto5905to59d8to74b4af8be3bc
true,model_training-0,false,13979868,10.208878755569458,15748887,bc2b0324to17b4to83actobc7ato5f506ba84aeb
true,video_processing-0,false,8859922,4.9344658851623535,10043077,58ca7b39to3a2fto3b6dtob9a1toc39ac495f345
true,image_processing-0,false,3964642,2.225534677505493,6041112,0a77afe4tod663to2400to73b2toda91c04cc572
true,image_processing-0,false,3203346,2.364061117172241,4848273,3aec150eto30b9to06d1tofe73toa67cfa995347
true,model_training-0,false,12945533,9.316010236740112,15255394,38ceec35to4a06to5acdto86e3to2c53b56b130c
true,image_processing-0,false,5235559,1.9490375518798828,8338769,5241ea66tob332to01f3to9ff1toeca14760d7c5
true,image_processing-0,false,6078152,2.8418657779693604,9422891,03c66038tofd55todb3etocdd7to407c7b281679
true,video_processing-0,false,8403793,5.436586856842041,12045222,6e5dcef9to7d05to545ato6e33to6ccbb47fabf3
true,model_training-0,false,11297433,9.016700029373167,13377613,6c192a86toe2d0tof322to823ctof1495ac6b23d
true,video_processing-0,false,9319637,5.48771595954895,11174315,20a69338to72f3to0817to3fe3to40c592915ced
true,image_processing-0,false,4751125,2.8629708290100098,6285758,536703a0toca9dto3cb5tob07ato23b18d911cbf
true,video_processing-0,false,8955416,5.181421279907227,11247740,b8504dd8to56fdtof6betof425tobbba826555e3
true,video_processing-0,false,6446004,4.939990520477295,8619465,4a9b750cto5f94tod7e1to3277to380e9710ab86
true,video_processing-0,false,8399132,6.01661229133606,10250526,10b08dd7toe389to42a1to1607tof7b75a46814c
true,image_processing-0,false,4458791,1.9717237949371336,7430213,3d8241f1to459atoa47cto8cf8toc340b475f1d6
true,model_training-0,false,11587340,9.245965242385864,13970261,b87d5428to88c0tob0f2to262eto435e5a6bcec4
true,image_processing-0,false,4809034,2.129248857498169,8466091,75c49c16to55efto4a3bto2111to60a72d32a24c
true,image_processing-0,false,5103795,2.072141647338867,8378998,4809666dto6a4atod224to8055to41372a08b9a3
true,video_processing-0,false,6968194,4.981828927993774,12601612,90080616tocb3eto6b9cto5e2ctod94be514bca0
true,model_training-0,false,11637997,9.162384033203123,17054300,9527180ato197cto55a8to2a22to324931e6bb33
true,video_processing-0,false,4634960,4.611224412918091,9903673,b8a6ccb1to213fto0ab9to3bc8to07cb40e4965c
