minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1033,1.396085833333333,1.41939665,1.3101627500000004,0.0
1035,0.6726239499999999,0.7349885166666666,0.7247703333333334,0.0
1036,0.61768235,0.9447996500000001,1.1799539833333332,0.0
1037,0.7037836333333333,0.5413059333333333,0.9193510000000003,0.0
1038,0.7401950666666667,0.6445918,1.4310290333333333,0.0
1039,1.0682238666666666,0.7204181666666666,1.6102230000000002,0.0
1040,0.6509741999999998,0.7047634666666663,1.4254336833333336,0.0
1041,0.5760553499999997,0.6862830833333333,1.7899394333333336,0.0
1042,0.7958408499999999,0.5730301,1.3109362833333331,0.0
1043,0.88379855,0.6157155833333332,1.539041466666667,0.0
1044,0.6855129833333332,0.6985145833333333,1.3165403833333333,0.0
1045,0.6805908666666667,0.8547326666666667,1.6066244000000003,0.0
1046,0.9031514833333333,1.0009042333333333,1.9479782999999997,0.0
1047,0.4970875000000001,0.4568918333333333,1.121241333333333,0.0
