,image_processing-0-0.0.1,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1,cp
0,83.76514999999998,85.163799,78.60976500000002,0.0
1,40.35743699999999,44.099311,43.48622,0.0
2,37.060941,56.687979000000006,70.79723899999999,0.0
3,42.227017999999994,32.478356,55.16106000000001,0.0
4,44.411704,38.675508,85.86174199999999,0.0
5,64.09343199999999,43.225089999999994,96.61338,0.0
6,39.05845199999999,42.28580799999998,85.52602100000001,0.0
7,34.56332099999999,41.176985,107.39636600000001,0.0
8,47.750451,34.381806,78.65617699999999,0.0
9,53.027913,36.94293499999999,92.34248800000002,0.0
10,41.13077899999999,41.910875,78.992423,0.0
11,40.835452000000004,51.28396,96.39746400000001,0.0
12,54.189088999999996,60.054254,116.87869799999999,0.0
13,29.825250000000008,27.413509999999995,67.27447999999998,0.0
