minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
57,24.020090462808113,28.907863545133882,60.38727138290673
58,22.997905627835337,28.969462091763504,55.206759104532715
59,25.860760167389042,28.74783768497496,58.75182890749225
60,27.82695340368138,29.825618196482047,58.183245188408634
61,23.66998488267092,30.67757357887005,53.79946656245035
62,30.386133761577636,33.5153262255952,66.13963429396468
63,22.207131829457396,35.1761569057462,55.709612157868094
64,21.899604186563636,29.241379297793088,58.78132209535209
65,28.49980035982832,32.257262503367976,69.52666929841803
66,23.98519145716004,26.743300718560555,53.621366633666725
67,24.25688991227329,33.66053529378928,56.278171141302614
68,26.118431468524676,31.134645730806504,59.90827014290587
69,25.45551067172304,31.975933521692244,858.6280751950169
