minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
57,7.772668237543995,11.283042220289211,36.87816264258016
58,9.436481961318664,12.046141639583922,31.276187355759127
59,10.587339385243903,10.350556755907935,32.90085275016137
60,8.123785031055645,16.830071888600937,34.820084004502895
61,8.301888386470981,11.433581729122956,31.733750992166247
62,9.515831590344437,11.22450902511884,38.51053417703828
63,7.208205264174375,11.522123821423358,30.878861862566136
64,8.638907015346462,9.916593750410419,37.97546698449124
65,10.831038846790372,14.775706694605905,33.0351645684378
66,7.750057185348295,9.851703258586108,27.476593451114937
67,7.2868995481917205,14.104889245687303,35.259454459872366
68,6.730576492898318,14.25040965266087,32.62480879428427
69,12.127012991491904,15.842151174809684,295.3256677127637
70,,,
