minute,perf_rapl,igpm,x_rest
1340,40.09375,63.41258660879699,23.318836608796992
1341,39.33433333333333,62.069110280903786,22.734776947570445
1342,32.025333333333336,52.847694717137415,20.82236138380408
1343,37.8395,59.82412085833491,21.984620858334907
1344,36.55433333333333,59.41851442267762,22.86418108934429
1345,36.76316666666666,59.27122419359575,22.50805752692908
1346,40.352,63.88499013351495,23.532990133514947
1347,39.026833333333336,62.91846468022673,23.89163134689339
1348,38.3655,61.148740897528306,22.7832408975283
1349,45.0775,71.04471042328522,25.967210423285223
1350,35.22533333333333,57.0800326080068,21.854699274673465
1351,37.352051282051285,60.20897816485496,22.856926882803677
