minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1340,4.560712224784996,4.582649744450061,7.899707659421567
1341,6.95718761486167,4.942326150415151,6.993328336320658
1342,4.598639711398735,5.4712253138891915,4.704439284478372
1343,5.156307215261034,5.820021031710983,4.764238503970922
1344,3.9789925486251727,6.001199901976913,6.954307265420074
1345,6.696207735405226,5.058365890600878,5.97191466600624
1346,5.222588599541875,5.9068669307741954,7.647342738709551
1347,4.927393946762779,4.174062326027106,7.229113458556395
1348,6.6113190562242,5.066695272807915,6.802611037563121
1349,4.898200015733963,4.527946245111277,8.573029157237485
1350,6.281615406333767,4.130316806738007,6.632896966748849
