minutes,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,dd-0-0.0.1,cp
1076,4.0666671,3.5901491333333317,2.6441383499999995,0.0
1078,2.4877039000000005,2.417515166666666,1.1054726499999998,0.0
1079,2.1427966333333326,2.7881912666666664,1.2894607666666666,0.0
1080,2.065220783333334,3.820721133333333,1.2823467333333338,0.0
1081,2.081096383333333,3.6069580666666665,0.8800795666666666,0.0
1082,2.4762202333333323,5.158880099999999,1.015699633333333,0.0
1083,2.253684416666667,3.6878666166666663,1.2411331833333332,0.0
1084,2.0807285833333333,5.0682001833333326,1.477589966666667,0.0
1085,2.2411941166666667,7.18272875,1.3838734333333333,0.0
1086,2.3015328166666658,4.117338199999998,1.0234780833333332,0.0
1087,2.2147431833333333,4.393669966666668,1.3546067666666666,0.0
1088,2.23333705,5.522877266666666,1.1957049000000002,0.0
