minutes,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,dd-0-0.0.1,cp
1076,4.0666671,3.5901491333333317,2.6441383499999995,0.0
1078,3.65,3.433333333333333,1.9833333333333334,0.0
1079,3.1666666666666665,3.6,2.433333333333333,0.0
1080,3.05,4.833333333333333,2.45,0.0
1081,3.0833333333333335,4.366666666666666,1.6666666666666667,0.0
1082,3.6166666666666667,6.366666666666666,1.8,0.0
1083,3.283333333333333,4.5,2.1666666666666665,0.0
1084,3.1166666666666667,6.166666666666667,2.75,0.0
1085,3.25,8.566666666666666,2.5166666666666666,0.0
1086,3.3666666666666667,5.083333333333333,1.8833333333333333,0.0
1087,3.183333333333333,5.316666666666666,2.566666666666667,0.0
1088,3.316666666666667,6.35,2.15,0.0
