,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,dd-0-0.0.1,cp
0,244.000026,215.4089479999999,158.64830099999998,0.0
1,149.26223400000003,145.05090999999996,66.32835899999999,0.0
2,128.56779799999995,167.291476,77.367646,0.0
3,123.91324700000003,229.24326799999997,76.94080400000003,0.0
4,124.86578299999998,216.417484,52.804774,0.0
5,148.57321399999995,309.53280599999994,60.941977999999985,0.0
6,135.22106500000004,221.27199699999997,74.467991,0.0
7,124.843715,304.09201099999996,88.65539800000002,0.0
8,134.471647,430.963725,83.032406,0.0
9,138.09196899999995,247.0402919999999,61.40868499999999,0.0
10,132.884591,263.6201980000001,81.276406,0.0
11,134.00022299999998,331.37263599999994,71.74229400000002,0.0
