minutes,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,dd-0-0.0.1,cp
1076,44.34429200795578,34.11552558155106,29.140812084578638,0.0
1078,43.883136424446036,44.53181307719549,29.417017533807833,0.0
1079,42.470511025554714,54.658122754132144,28.436845954973165,0.0
1080,39.73473996290681,62.47193459379877,27.154928899801643,0.0
1081,42.58656665795541,75.21847199192936,28.18470952114709,0.0
1082,37.26532093626283,63.962168408875215,25.276343340050026,0.0
1083,39.2582617461992,68.79194452346343,26.62161066533313,0.0
1084,36.733061316614155,74.03783010943513,24.58853575993097,0.0
1085,32.80663990408478,67.14197933644593,22.307865940876077,0.0
1086,37.694582342744326,64.51757579161642,25.787005218769696,0.0
1087,37.958689776593324,77.20663139739197,25.656313106134068,0.0
1088,,,,
