minutes,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,dd-0-0.0.1,cp
1076,21.984054745983595,15.991766747596326,14.787031927997702,0.0
1078,21.878150422067655,20.9921842825305,15.011388753527894,0.0
1079,21.251724785854897,25.86042850804061,14.56456139506148,0.0
1080,19.46227391682002,28.932267336381656,13.613856366040697,0.0
1081,21.077772726319242,35.20066794410781,14.278248653500947,0.0
1082,17.528979201087672,28.447836760878726,12.169571724151874,0.0
1083,18.886841644824617,31.292493253693124,13.109070203331008,0.0
1084,17.365916185374132,33.09547111642505,11.89823474537628,0.0
1085,14.767539594542974,28.576881971924287,10.27812054666729,0.0
1086,18.148325307204605,29.370407294553548,12.707725253596674,0.0
1087,18.172119590478726,34.94807714953056,12.571812888901697,0.0
1088,,,,
