minutes,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,dd-0-0.0.1,cp
1076,22.36023727464225,18.123758845434413,14.35378016222831,0.0
1078,22.008484152008997,23.52991589667215,14.411761567888039,0.0
1079,21.224955063043197,28.778723764453648,13.882467836087494,0.0
1080,20.262406850747833,33.563182732042975,13.526806700016191,0.0
1081,21.50727202405311,40.0216263062545,13.904398961623045,0.0
1082,19.68718826121178,35.60078162774881,13.044247553052141,0.0
1083,20.347204310765736,37.563737029853264,13.478264201316051,0.0
1084,19.32727751399479,41.0416457073538,12.637820540741908,0.0
1085,17.952984408203015,38.71030277569415,11.925013674799597,0.0
1086,19.51970373907516,35.19896171353332,13.044311225151105,0.0
1087,19.75778993355886,42.338871732493345,13.045098270206003,0.0
1088,,,,
