timestamp,sensor,target,socket,cpu,INSTRUCTION_RETIRED,LLC_MISSES,UNHALTED_CORE_CYCLES,UNHALTED_REFERENCE_CYCLES,time_enabled,time_running
1679961552535,sensor,all,0,3,3419,14,17136,10140,147423,147423
1679961552535,sensor,all,0,11,1419812,2619,560535,407394,141331,141331
1679961552535,sensor,all,0,10,3516,4,18617,11310,131337,131337
1679961552535,sensor,all,0,4,3305,1,15282,8970,136414,136414
1679961552535,sensor,all,0,5,3819,3,15102,8736,125798,125798
1679961552535,sensor,all,0,6,3317,3,16823,9672,120863,120863
1679961552535,sensor,all,0,7,3417,0,14746,8814,116849,116849
1679961552535,sensor,all,0,8,3626,4,21092,9282,112865,112865
1679961552535,sensor,all,0,9,152061,2189,435830,318786,109230,109230
1679961552535,sensor,all,0,0,3424,5,16837,9438,104077,104077
1679961552535,sensor,all,0,1,6979,1,33688,22308,99882,99882
1679961552535,sensor,all,0,2,6751,0,33000,18564,96146,96146
1679961553535,sensor,all,0,3,8713759,18425,10481076,26635050,979017561,979017561
1679961553535,sensor,all,0,11,1173247070,1667190,476250296,382809648,979020567,979020567
1679961553535,sensor,all,0,10,783821734,1107397,805391080,678130050,979017444,979017444
1679961553535,sensor,all,0,4,735126893,912826,1204902390,985871328,979022064,979022064
1679961553535,sensor,all,0,5,859755267,1153981,353556831,293964762,979016458,979016458
1679961553535,sensor,all,0,6,852980256,1643716,364514194,323486280,979013567,979013567
1679961553535,sensor,all,0,7,464149111,1012317,211391502,188483334,979009292,979009292
1679961553535,sensor,all,0,8,421381151,1689406,222270541,206047374,979005671,979005671
1679961553535,sensor,all,0,9,702910572,870067,290532163,253906692,978999670,978999670
1679961553535,sensor,all,0,0,328448384,695390,148772317,141282648,978995170,978995170
1679961553535,sensor,all,0,1,2366005379,3275883,933945610,763888476,978989996,978989996
1679961553535,sensor,all,0,2,35970396,678095,56743033,85167576,978985080,978985080
1679961554535,sensor,all,0,3,71068963,133587,35939404,48813726,1979150532,1979150532
1679961554535,sensor,all,0,11,2604917103,3528120,1022230601,947369358,1979156068,1979156068
1679961554535,sensor,all,0,10,17726663,300861,31842041,46323030,1979155045,1979155045
