,timestamp,socket,cpu,INSTRUCTION_RETIRED,UNHALTED_CORE_CYCLES,time_enabled,time_running,target,Contr,perf_rapl,energy_ram,retired_instructions,ipmi,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,cpu_pct_process,cpu_time_process,x_rest
0,2023-07-21 00:33:00.373,0.0,276.0,0.26927557238095234,0.22073895857142856,0.0,0.0,os_cp,0.0,21.66,11.65,617550157.0,141.0,201061433328.0,29186512.0,0.2012062,12.0,31.917342,3.61,2.0,4.7,00:00:00,119.34
1,2023-07-21 00:33:01.373,0.0,276.0,0.08054667952380952,0.08827119333333333,0.0,0.0,os_cp,0.0,19.91,8.02,168595021.0,114.0,201090619840.0,29026472.0,0.2178858,13.0,29.186512,3.61,2.0,4.7,00:00:00,94.09
2,2023-07-21 00:33:02.374,0.0,276.0,0.059487972857142864,0.07835907095238095,0.0,0.0,os_cp,0.0,19.87,7.88,129742897.0,102.0,201119646312.0,29211912.0,0.23456661666666667,14.0,29.026472,3.61,0.0,4.5,00:00:00,82.13
3,2023-07-21 00:33:03.374,0.0,276.0,0.0589267019047619,0.07957418952380951,0.0,0.0,os_cp,0.0,19.95,8.8,118036750.0,99.0,201148858224.0,28959352.0,0.2512479166666667,15.0,29.211912,3.61,0.0,4.3,00:00:00,79.05
4,2023-07-21 00:33:04.374,0.0,276.0,0.056953545714285715,0.07183827238095238,0.0,0.0,os_cp,0.0,20.01,7.88,118836539.0,95.0,201177817576.0,29018248.0,0.2679252166666667,16.0,28.959352,3.61,0.0,4.2,00:00:00,74.99
5,2023-07-21 00:33:05.375,0.0,276.0,0.05496919714285714,0.06767668571428571,0.0,0.0,os_cp,0.0,19.7,7.42,114813275.0,96.0,201206835824.0,29349059.0,0.28460336666666664,17.0,29.018248,3.61,0.0,4.1,00:00:00,76.3
6,2023-07-21 00:33:06.375,0.0,276.0,0.057263649047619054,0.07489749,0.0,0.0,os_cp,0.0,20.05,8.52,120836507.0,96.0,201236184883.0,28849893.0,0.30128191666666665,18.0,29.349059,3.41,0.0,4.0,00:00:00,75.95
7,2023-07-21 00:33:07.375,0.0,276.0,0.05605120619047619,0.06850797666666666,0.0,0.0,os_cp,0.0,19.73,7.32,117378164.0,95.0,201265034776.0,29071755.0,0.31796025,19.0,28.849893,3.41,0.0,3.9,00:00:00,75.27
8,2023-07-21 00:33:08.376,0.0,276.0,0.053610514761904766,0.06989515380952381,0.0,0.0,os_cp,0.0,19.96,8.07,127722878.0,90.0,201294106531.0,28923467.0,0.33463895000000005,20.0,29.071755,3.41,0.0,3.8,00:00:00,70.03999999999999
9,2023-07-21 00:33:09.376,0.0,276.0,0.05955806047619048,0.07285567333333333,0.0,0.0,os_cp,0.0,19.58,7.08,115234148.0,91.0,201323029998.0,28673694.0,0.35131823333333334,21.0,28.923467,3.41,0.0,3.7,00:00:00,71.42
