,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
0,84.426131,84.86599099999995,67.26489099999999,0.0
1,35.918978,45.449329,32.714003999999996,0.0
2,39.33512400000001,54.51522600000001,34.174990999999984,0.0
3,41.70543500000001,34.34669799999999,32.454806,0.0
4,41.46715799999999,35.924124000000006,40.335364999999996,0.0
5,61.07908099999999,45.84709600000001,46.67393,0.0
6,38.719353999999996,41.556309,38.776232,0.0
7,31.304431000000005,41.079181999999996,27.056995,0.0
8,44.797580999999994,33.959464999999994,32.489902,0.0
9,47.152693000000006,33.404447000000005,34.61252799999998,0.0
10,39.66752900000001,40.96117300000002,25.185451999999994,0.0
11,39.017817,45.29499799999999,47.90979600000002,0.0
12,52.66143599999997,54.957912,33.654482,0.0
13,29.799845000000005,26.824866,26.941765,0.0
