minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
1102,1.4071021833333333,1.4144331833333326,1.1210815166666666,0.0
1104,1.1,1.2833333333333334,1.3666666666666667,0.0
1105,1.1,1.5333333333333334,1.6166666666666667,0.0
1106,1.1666666666666667,1.0166666666666666,1.4833333333333334,0.0
1107,1.1333333333333333,1.05,1.8,0.0
1108,1.6333333333333333,1.2166666666666666,1.9833333333333334,0.0
1109,1.1666666666666667,1.1833333333333333,1.7333333333333334,0.0
1110,0.9,1.1833333333333333,1.2333333333333334,0.0
1111,1.2333333333333334,1.0166666666666666,1.4,0.0
1112,1.3833333333333333,1.0833333333333333,1.4166666666666667,0.0
1113,1.1833333333333333,1.1666666666666667,1.2666666666666666,0.0
1114,1.1166666666666667,1.4,1.9333333333333333,0.0
1115,1.5666666666666667,1.7,1.5333333333333334,0.0
1116,0.8166666666666667,0.8666666666666667,1.1666666666666667,0.0
