minutes,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
44,77.81900451415943,32.181248223007664,19.058312681664585,0.0
46,77.2805218579053,35.00265059325483,20.71916093771078,0.0
47,78.73031458437401,33.4310769835376,21.51501003872873,0.0
48,77.7918512287671,34.90016302198055,21.994026329751847,0.0
49,,,,
