minutes,dd-0-0.0.1,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1
1054,11.732375592573943,11.472977835683778,9.767156798199515,18.826379395392458
1055,10.64956621632168,9.678541823800616,9.585697526949481,14.416957648555629
1056,8.66300950092309,12.474280266203017,7.344738874435038,9.634244388771078
1057,6.858950893261012,12.926560632490721,4.693481996704544,14.38128782265848
1058,8.552884572280549,9.909404059576081,5.32388532158478,14.298287275077838
1059,11.230056694305127,16.912931385223445,7.479088772341438,18.090458627694883
1060,8.708238371112374,13.177872963371959,7.347720469209548,17.056186709265766
1061,13.925437810934003,14.037449338168202,4.899469012821125,15.239217283253197
1062,8.20217650977368,12.546930818995326,6.13036098938522,18.22674406661765
1063,10.450000385186836,14.291627093598064,10.289096594481986,22.012920786201537
1064,8.08769652574209,10.433979185985487,7.274061103400271,21.262448829685184
1065,5.617406807727466,9.680704068638438,,12.160843358690402
1066,5.900723976616423,13.524692170903855,,2.371175725957614
