seconds,perf_rapl,energy_ram,retired_instructions,ipmi,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,cpu_pct_process,x_rest
64548,21.38,9.53,128908477.0,187.0,283305995544.0,31147806.0,0.13434938333333332,8.0,51.304603,3.69,1.0,5.5,165.62
64549,21.23,10.83,228035061.0,152.0,283337143350.0,38865312.0,0.151027,9.0,31.147806,3.69,0.0,5.1,130.77
64550,30.4,21.78,2432061075.0,106.0,283376008662.0,41096006.0,0.16770511666666668,10.0,38.865312,3.69,0.0,4.9,75.6
64551,24.79,17.18,1793878493.0,125.0,283417104668.0,33054880.0,0.18438425,11.0,41.096006,3.69,2.0,4.6,100.21000000000001
64552,21.81,11.77,433213161.0,143.0,283450159548.0,30002728.0,0.20106486666666665,12.0,33.05488,3.69,2.0,4.5,121.19
64553,21.03,10.34,244526840.0,125.0,283480162276.0,30282672.0,0.21774388333333333,13.0,30.002728,3.47,0.0,4.4,103.97
64554,20.37,8.16,134552288.0,98.0,283510444948.0,30485486.0,0.23442458333333333,14.0,30.282672,3.47,0.0,4.3,77.63
64555,20.7,9.51,191686103.0,104.0,283540930434.0,29336100.0,0.25110471666666667,15.0,30.485486,3.47,0.0,4.1,83.3
64556,20.47,8.51,190427709.0,113.0,283570266534.0,29822982.0,0.26778491666666665,16.0,29.3361,3.47,0.0,4.0,92.53
64557,19.98,7.34,120656316.0,110.0,283600089516.0,30136625.0,0.28446533333333335,17.0,29.822982,3.27,0.0,3.8,90.02
64558,20.74,9.53,287284232.0,99.0,283630226141.0,29498611.0,0.30114288333333333,18.0,30.136625,3.27,0.0,3.8,78.26
64559,20.24,8.34,181769507.0,97.0,283659724752.0,30077571.0,0.3178236166666667,19.0,29.498611,3.27,0.0,3.7,76.76
64560,20.4,8.24,166964917.0,99.0,283689802323.0,29708262.0,0.33450298333333334,20.0,30.077571,3.27,0.0,3.6,78.6
64561,20.62,8.99,191832092.0,97.0,283719510585.0,29764356.0,0.35118350000000004,21.0,29.708262,3.27,0.0,3.5,76.38
64562,20.0,7.21,123700370.0,96.0,283749274941.0,29871085.0,0.36786415,22.0,29.764356,3.27,0.0,3.4,76.0
64563,20.4,8.34,189802108.0,86.0,283779146026.0,29268083.0,0.38454451666666667,23.0,29.871085,3.09,0.0,3.4,65.6
64564,20.48,8.65,197159585.0,96.0,283808414109.0,29782123.0,0.40122501666666666,24.0,29.268083,3.09,0.0,3.3,75.52
