minutes,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1385,9.311990629987028,8.388136843675031,8.369461082727655,25.086168850007322
1386,8.972032445573939,9.169858860705412,10.163853742537105,32.60288522715016
1387,7.543180453315696,7.6402911832686,6.900400325925539,29.168247669569013
1388,8.023736521795707,7.717896543726013,9.720762493924171,35.541586892908434
1389,5.943789564371255,6.34453960977309,7.64922695896729,25.775834970595284
1390,10.034302409142247,9.272559970665341,9.43170170540184,34.722049548124616
1391,8.039189219200242,10.424887178433528,9.415628235953951,33.036579382227465
1392,10.032487865606319,8.343500008411011,11.014221178759893,38.381612073918035
1393,5.975114425587019,7.4448569847176485,8.37638633508202,39.88970768960609
1394,5.854610807561368,6.6806955930605145,6.426650508817291,29.50104235219331
1395,9.185037881658662,8.0044103343521,8.787929032658749,30.695952112611216
1396,7.715162175449589,7.498854307671644,9.489911492441939,34.47276026582743
1397,6.703838986949701,6.082802007725311,8.058878260965722,33.06278322401935
1398,6.434351105814799,5.8099352282797065,6.107938361334949,31.009741291450332
1399,6.842824279646763,6.7785388462315765,7.669753104038055,25.980597969942842
1400,6.617160170775624,6.506741163996178,8.98013683296853,25.39349429833106
1401,6.656487671187371,7.141698829820092,8.579586857015746,30.85852704853854
1402,6.2816881211614275,6.16110967537606,7.650486910822483,31.775448283215773
1403,8.454658633624703,8.361662385910329,7.813077583033522,37.06654311579227
1404,6.022229234621904,4.684215764359707,5.371931060445216,33.217628091050756
1405,6.219534637243903,5.012771343720466,7.63066484630352,33.88333964918712
1406,7.695787759099646,5.139759442213329,6.373458396498901,36.34362452785531
1407,5.239351121140762,6.654738281978066,7.514749247579707,36.94277641689543
1408,6.053389711246828,6.761609460639839,8.006961280068795,41.04037145973292
1409,5.052546747528601,5.614144747595355,5.52335389656878,37.34228345208858
1410,6.529706914906774,5.806249199562301,6.247039763613517,35.36039397361346
1411,-0.17808799565308053,0.9088627368336376,0.4727388006738658,30.922496728745564
1412,,9.656535307334119,7.737836699368859,41.28150343595243
