minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,dd-0-0.0.1
1342,7.927922857498333,30.41352887453452,7.736483230754269
1343,9.015181072178652,31.778482530029063,7.734040382387484
1344,9.15432268721497,29.104124385480677,7.90646125612196
1345,10.032380371846918,29.256546188973545,7.39818093225648
1346,10.294940548498017,33.07434741605088,7.3490173967252375
1347,9.950079551847328,34.02338665065067,7.300524367529144
1348,11.180689594530957,30.022330008578813,6.5470890665286525
1349,11.50666332885194,29.90698790189123,6.239149538681471
1350,11.220724980309518,31.867734954664318,5.944567420636244
1351,9.910493924186099,33.647941842257616,6.131944624399216
1352,10.879086607048531,34.56348712606431,7.308631971116727
