minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,dd-0-0.0.1
1342,2.6271151094641723,26.531385980943693,3.7810868142500755
1343,2.5999074839386984,27.871605703139164,3.389643597358798
1344,2.8759306420460864,25.579265539121028,3.512305476042824
1345,3.2885942557944627,27.73080678393307,3.0199404862832697
1346,2.896472849627538,31.07939758844319,3.229583395752891
1347,3.3367194512726233,31.89120871969253,3.09766226237797
1348,3.6650156610655356,28.170287143729976,3.113113911661268
1349,3.849955267470641,28.34603191286507,2.991619747817842
1350,3.5422455853509867,29.69645023315201,2.786301084185372
1351,3.14560400492662,30.95681399553917,2.9870374744999317
1352,3.1623755470086383,32.485146348675904,3.376819988534843
