,image_processing-0-0.0.1,video_processing-0-0.0.1,dd-0-0.0.1
0,36.053244,193.27162599999997,40.826285
1,59.377395999999976,315.3096159999999,34.85562199999999
2,43.40104400000001,234.18936900000003,38.974438
3,46.310719999999996,155.744522,48.19311400000001
4,55.791854,278.695963,51.41698
5,34.881874,236.58472400000005,43.647465
6,32.377776000000004,185.83006999999998,39.542927999999996
7,36.512789999999995,190.36596300000002,42.607323
8,46.634742999999986,241.698521,37.496002000000004
9,38.760912999999995,193.23760099999996,40.490621
10,57.36104199999999,260.30054099999995,55.118058
