,image_processing-0-0.0.1,video_processing-0-0.0.1,dd-0-0.0.1
0,59.0,217.0,101.0
1,96.0,357.0,83.0
2,74.0,264.0,97.0
3,77.0,175.0,119.0
4,96.0,310.0,124.0
5,58.0,266.0,106.0
6,58.0,211.0,106.0
7,64.0,215.0,108.0
8,78.0,270.0,92.0
9,66.0,213.0,100.0
10,96.0,295.0,119.0
