minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,dd-0-0.0.1
1342,11.292823644609744,62.782219172801845,12.464270091228082
1343,12.115402845345985,65.81511379217774,12.059144671959114
1344,12.619984488428816,60.34098286004471,12.332074679748926
1345,14.051055694011831,63.36602634976099,11.055371819228831
1346,13.3654949890941,71.48493680179806,11.301856153256498
1347,13.636658851086176,73.22982240913682,11.116191303841761
1348,15.408707976450428,64.76987747481462,10.330545223741447
1349,15.946919826305262,64.81245669282829,9.929588550048367
1350,14.637987565392116,68.62541603406532,9.552949587971804
1351,13.104290302152979,71.80233876835742,9.996936736718634
1352,14.285300415050546,74.2529992051246,11.609163456476683
