minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1359,22.310115946908592,19.70977860209099,71.1086058286673
1360,14.789983323963238,15.755057567546974,54.37192367967153
1361,20.83351064522126,19.066678261115655,64.10002603540487
1362,21.329379178250782,21.668227461103882,75.59519612685467
1363,15.954663074350746,17.844424328765363,55.56191526865607
1364,22.94804243998756,20.988615327202375,66.2000795315935
1365,21.281152251913863,21.627495652556043,62.38813672510618
1366,22.857583526553775,17.885702491644068,72.00627785739464
1367,19.14073039949121,17.891554915055124,65.99326593335812
1368,21.75492347729238,21.60069993334257,70.72637182817405
1369,16.820580336970583,17.566503503773212,59.7355979784526
1370,17.640053541512298,18.575336435924502,59.76137769239209
1371,26.39506077291793,19.062100355348562,64.93311667783057
1372,,,1440.4173694512353
