minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1359,6.682242483984053,4.533093333517013,7.606543553516759
1360,4.22175853646479,5.627919859614865,5.757478054965566
1361,5.818782211119221,5.895208455207544,6.066282403237415
1362,4.520555725394583,6.323982154787507,6.303516611910233
1363,4.297180328977954,6.182669973153923,5.344507029884124
1364,7.6535237145341135,5.6510597693906774,6.065657115652501
1365,6.151624836826795,7.371860053940799,3.4890252225710783
1366,6.106419496932893,4.464606953143001,5.900349884089515
1367,5.730527670888596,4.98636297172995,7.273253076320647
1368,5.844222010091349,5.038625762111643,7.1216415184938064
1369,4.536826430563975,5.939435486515785,6.360048501448283
1370,5.158100091608665,6.8509260636515625,6.086696326376276
1371,9.821485286343497,4.3967449525357285,5.286298272824312
1372,,,883.4278031599707
