minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1359,9.67610135984668,2.6933711334648605,32.430482491781476
1360,7.336384320508037,15.297665462604815,19.869552006465376
1361,11.440107027501258,10.233537166236973,36.447160656161486
1362,5.686061147262647,14.054600453651387,46.93423508353832
1363,8.887710395351476,7.682988366482025,26.015158804769836
1364,14.308199281202894,13.158962202905396,42.25504661982082
1365,10.86801691656824,15.783266537796878,41.601209790885285
1366,8.719005396483608,9.706143804808063,40.604423108393014
1367,8.493496165555307,14.142253622389328,27.517415880780284
1368,9.860262882155716,16.589693702692454,34.99277354022106
1369,8.60117053891851,17.936980648660203,21.53300896920794
1370,12.241219421532712,14.5491896255291,31.006623227942615
1371,19.95439469324007,11.77271351800961,33.72744169047811
1372,,,1114.532235773259
