minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1
1359,1.3938939663403278,5.444817531663598,0.9947714297051977
1360,0.8829608343093945,3.487046513289996,1.3392324574169652
1361,1.456864124525749,4.490046099911147,1.4028188455468968
1362,1.5152019864462132,6.428725895225458,2.140710766516983
1363,1.4775337274039788,4.014580262374205,1.8058193829056859
1364,2.3220052788631653,5.047190250173985,1.860375463745208
1365,2.0347696262300365,6.066333121808677,2.6715967524657827
1366,1.9683459145721134,5.345429207297652,1.6969901090318662
1367,1.6223948620492772,4.464173208151106,2.2444981173668523
1368,1.7988658254568963,5.729098565113165,3.0989540826216495
1369,1.5790517089915561,4.457662028143141,3.553763548701725
