minutes,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
1318,-5.029704067070061,2.1947217003312676,2.650299229777185
1319,-6.372072462719225,2.07779923541183,2.5013510157837953
1320,-6.929706490279873,2.3479282229610123,2.4658261809250246
1321,-6.91846607326072,2.4191173941677433,2.4058631331676583
1322,-7.442787861349215,2.599075604136472,2.5333320028239754
1323,-7.039856254469072,2.247145593058424,2.6191555183274113
1324,-7.284856626290984,2.30023238243172,2.7097087240376214
1325,-5.8794039069049555,1.8688979233904859,2.4541896759435264
1326,-6.650022987244555,2.0660740870168057,2.5973097956870776
1327,-6.509745250042982,2.136277980490567,2.4633942957067014
1328,-6.508469950862589,2.0971287122209996,2.484212107259663
1329,-6.776105109515345,1.9967636458068758,2.7374981665423403
1330,-7.076316963152204,2.39076723855153,2.533167591399396
1331,-7.161074423140959,2.3391791382851883,2.6412858562365313
1332,-7.000240258687143,2.1028146384413926,2.858394743523728
1333,-6.445766438820499,1.8199646608525173,2.7315414764451793
1334,-6.580455933400308,2.027320035690659,2.5379749265516067
1335,-6.692528038532532,2.2132817908022573,2.479421444480566
1336,-6.828525813970282,2.013017956370472,2.7457691308144945
1337,-8.831661829243975,1.9715439421052297,-0.34958513302120053
