minutes,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
1318,3.7651529333333333,0.18552476666666667,0.029823416666666665
1319,3.800149233333333,0.16404863333333333,0.028712033333333335
1320,3.8550997666666666,0.11287055,0.025414433333333333
1321,3.858135383333333,0.10629311666666667,0.02845095
1322,3.9008249500000005,0.07319271666666667,0.01995425
1323,3.8534692666666674,0.11992394999999997,0.020364033333333333
1324,3.899383916666666,0.08178213333333334,0.013556816666666666
1325,3.7315566166666665,0.22372014999999998,0.03635623333333334
1326,3.8262087166666654,0.1408438,0.025781299999999997
1327,3.7895135333333334,0.17138276666666669,0.0314973
1328,3.796626066666667,0.16617853333333335,0.02997118333333333
1329,3.8417471,0.13398981666666668,0.018060116666666667
1330,3.8501648,0.11974604999999998,0.023632350000000003
1331,3.867470666666667,0.1069494,0.019698200000000003
1332,3.8559358166666664,0.12643486666666667,0.01189135
1333,3.7809882833333335,0.19236455,0.020396466666666665
1334,3.8076395666666674,0.15899428333333335,0.026100050000000003
1335,3.820028866666667,0.1453358,0.027381583333333334
1336,3.821380533333333,0.1525051,0.01921621666666667
1337,1.1977796333333333,0.019832616666666667,0.012311299999999999
