minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,cp
34,3.8010152234490584,2.058184979418081,1.5277066787742377,
36,5.007049977857958,4.07927569012401,2.8171582518740816,
37,5.000936348266695,3.555199437989673,3.04457343607211,
38,5.245503003934615,4.171409479041621,2.2372816223037275,
