,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
0,259.92888999999997,569.4986039999999,316.461554,131.10576600000005,0.0
1,182.0,356.0,207.0,135.0,0.0
2,173.0,329.0,236.0,135.0,0.0
3,201.0,319.0,215.0,154.0,0.0
4,137.0,440.0,235.0,117.0,0.0
5,161.0,411.0,252.0,136.0,0.0
6,190.0,264.0,210.0,131.0,0.0
7,200.0,465.0,180.0,115.0,0.0
8,214.0,364.0,267.0,124.0,0.0
9,214.0,314.0,245.0,130.0,0.0
10,188.0,350.0,208.0,137.0,0.0
11,228.0,449.0,210.0,127.0,0.0
12,195.0,321.0,190.0,97.0,0.0
