,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
0,259.92888999999997,569.4986039999999,316.461554,131.10576600000005,0.0
1,129.96352100000001,314.7140099999999,147.10504199999997,73.54288999999999,0.0
2,119.12832299999998,291.5905780000001,171.03270699999996,73.040793,0.0
3,139.65727299999995,285.725413,164.17820999999998,84.56409599999999,0.0
4,91.84702299999998,395.369617,171.965748,65.31000499999999,0.0
5,111.50109700000003,369.88014800000013,184.82985200000002,76.693914,0.0
6,126.86243799999995,236.71283100000005,147.86197100000004,69.96960700000001,0.0
7,141.78466799999998,414.777865,134.14656599999998,61.589412,0.0
8,143.16600499999998,324.771402,196.63997600000002,66.339728,0.0
9,149.526209,277.873282,180.45539199999996,74.198778,0.0
10,130.421293,315.729565,155.29622500000002,74.85764199999998,0.0
11,153.67251000000002,402.284131,153.95575499999998,65.020392,0.0
12,134.43942099999998,285.6115280000001,139.288471,53.31392399999998,0.0
