minutes,pyaes-0-0.0.1,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1
1035,10.81805196470716,7.667772273199714,13.328538981071022
1036,13.240730413918527,5.043281764469632,9.798215445814305
1037,14.119400438823028,8.32967172903001,14.014154307490601
1038,6.541655618086707,9.517295814866657,21.200220627995403
1039,12.527056686627272,11.596057009145182,18.810741107040908
1040,12.425537913130004,10.91953010900941,12.61449027690859
1041,6.995981458417713,7.010647716834305,13.545239641610031
1042,7.449720155502274,10.58298204867315,21.307136007179672
1043,7.429510386147058,11.171477212508504,20.23898457918934
1044,7.935587840934894,7.716643902207064,14.777240989447941
1045,9.586696949793259,12.513187233449546,20.427890480366063
1046,13.185818039681722,11.895655261135591,15.850171172777662
1047,14.00893319868834,9.036486542876956,16.425489114235113
1048,-0.0007635209376983306,2.6300143423443525,22.684020686305303
