timestamp,sensor,target,socket,cpu,INSTRUCTION_RETIRED,UNHALTED_CORE_CYCLES,time_enabled,time_running
1681416233343,sensor,all,0,13,10394,54830,1585274,1585274
1681416233343,sensor,all,0,12,10215,53968,1519129,1519129
1681416233343,sensor,all,0,15,10126,52369,1459210,1459210
1681416233343,sensor,all,0,14,10287,47976,1462729,1462729
1681416233343,sensor,all,0,17,10240,33541,1410491,1410491
1681416233343,sensor,all,0,0,10346,54248,1342358,1342358
1681416233343,sensor,all,0,16,3520,32994,1388200,1388200
1681416233343,sensor,all,0,1,3505,33275,1371561,1371561
1681416233343,sensor,all,0,19,10167,35357,1326353,1326353
1681416233343,sensor,all,0,2,182483,1363700,1371172,1371172
1681416233343,sensor,all,0,18,3223,31241,1396224,1396224
1681416233343,sensor,all,0,3,409464,1408203,1416400,1416400
1681416233343,sensor,all,0,22,7731,64902,1409930,1409930
1681416233343,sensor,all,0,4,17271,49528,1361590,1361590
1681416233343,sensor,all,0,5,10471,80049,1346436,1346436
1681416233343,sensor,all,0,23,17362,50744,1357856,1357856
1681416233343,sensor,all,0,20,7925,50206,1399397,1399397
1681416233343,sensor,all,0,6,14592,65847,1347616,1347616
1681416233343,sensor,all,0,7,7892,48011,1391335,1391335
1681416233343,sensor,all,0,21,7846,52480,1380794,1380794
1681416233343,sensor,all,0,8,7938,49029,1425950,1425950
1681416233343,sensor,all,0,9,10439,77867,1425939,1425939
1681416233343,sensor,all,0,11,7858,48136,1411460,1411460
1681416233343,sensor,all,0,10,7913,48527,1452926,1452926
1681416234343,sensor,all,0,13,2220349,6362068,984618543,984618543
1681416234343,sensor,all,0,12,2208209,5192849,984595925,984595925
1681416234343,sensor,all,0,15,22149353,30719403,984611171,984611171
1681416234343,sensor,all,0,14,6989814,10933111,984605260,984605260
1681416234343,sensor,all,0,17,2437185,4735110,984641349,984641349
1681416234343,sensor,all,0,0,91734329,85521464,984623624,984623624
1681416234343,sensor,all,0,16,3889049,7907694,984676276,984676276
1681416234343,sensor,all,0,1,9190891,8473951,984667652,984667652
1681416234343,sensor,all,0,19,4300855,10886888,984663950,984663950
1681416234343,sensor,all,0,2,692364,3104211,984660655,984660655
1681416234343,sensor,all,0,18,2777852,5905324,984689853,984689853
1681416234343,sensor,all,0,3,428721,1663228,984770802,984770802
1681416234343,sensor,all,0,22,134037572,127205091,984854867,984854867
1681416234343,sensor,all,0,4,1464688,6951285,984796630,984796630
1681416234343,sensor,all,0,5,170564021,70087985,984874031,984874031
1681416234343,sensor,all,0,23,7070916,10129575,984859197,984859197
1681416234343,sensor,all,0,20,71717825,109403766,984926720,984926720
1681416234343,sensor,all,0,6,3772791,11959994,984874925,984874925
1681416234343,sensor,all,0,7,2968881,5458087,984941249,984941249
1681416234343,sensor,all,0,21,1261689,2830777,984935249,984935249
1681416234343,sensor,all,0,8,68540,314229,984992296,984992296
1681416234343,sensor,all,0,9,104721,530723,984971609,984971609
1681416234343,sensor,all,0,11,312038,788135,984960180,984960180
1681416234343,sensor,all,0,10,56079,294727,985011809,985011809
1681416235344,sensor,all,0,13,42741716,27547648,1984974473,1984974473
1681416235344,sensor,all,0,12,2981133,3042688,1984944387,1984944387
1681416235344,sensor,all,0,15,976540,2745859,1984936895,1984936895
1681416235344,sensor,all,0,14,7369806,10422755,1984949619,1984949619
1681416235344,sensor,all,0,17,117161,515288,1984956731,1984956731
1681416235344,sensor,all,0,0,2176655,3228938,1984941523,1984941523
1681416235344,sensor,all,0,16,164890,527290,1984995393,1984995393
1681416235344,sensor,all,0,1,668598,1341627,1984992987,1984992987
1681416235344,sensor,all,0,19,2332701,11433144,1984987014,1984987014
1681416235344,sensor,all,0,2,478968,2881681,1984987175,1984987175
1681416235344,sensor,all,0,18,108480,470835,1984971790,1984971790
1681416235344,sensor,all,0,3,281674,623754,1984989560,1984989560
1681416235344,sensor,all,0,22,211330,701388,1985043151,1985043151
1681416235344,sensor,all,0,4,1441638,6866491,1984987971,1984987971
1681416235344,sensor,all,0,5,112699,379428,1985061340,1985061340
1681416235344,sensor,all,0,23,57925,280765,1985048032,1985048032
1681416235344,sensor,all,0,20,67105038,97087097,1985113523,1985113523
1681416235344,sensor,all,0,6,3223076,10975298,1985064293,1985064293
1681416235344,sensor,all,0,7,28545,152825,1985109125,1985109125
1681416235344,sensor,all,0,21,89630459,78695503,1985107220,1985107220
1681416235344,sensor,all,0,8,32379,186189,1985160970,1985160970
1681416235344,sensor,all,0,9,201063,694373,1985143241,1985143241
1681416235344,sensor,all,0,11,320520,781313,1985138800,1985138800
1681416235344,sensor,all,0,10,55119,213444,1985188966,1985188966
1681416236344,sensor,all,0,13,7099267,9891061,2985332136,2985332136
1681416236344,sensor,all,0,12,967624,2414180,2985309458,2985309458
1681416236344,sensor,all,0,15,260479,1005362,2985301415,2985301415
1681416236344,sensor,all,0,14,1147589,3937196,2985304524,2985304524
1681416236344,sensor,all,0,17,89516,390383,2985299533,2985299533
1681416236344,sensor,all,0,0,1825651,2729756,2985276950,2985276950
1681416236344,sensor,all,0,16,123169,416484,2985328642,2985328642
1681416236344,sensor,all,0,1,626040,895415,2985317879,2985317879
1681416236344,sensor,all,0,19,2121410,7550620,2985314023,2985314023
1681416236344,sensor,all,0,2,719088,3459778,2985314561,2985314561
1681416236344,sensor,all,0,18,25556,150715,2985312571,2985312571
1681416236344,sensor,all,0,3,270642,599629,2985363846,2985363846
1681416236344,sensor,all,0,22,218500,627702,2985424217,2985424217
1681416236344,sensor,all,0,4,1457762,6893275,2985367406,2985367406
1681416236344,sensor,all,0,5,21350,159047,2985435598,2985435598
1681416236344,sensor,all,0,23,46534,194148,2985426399,2985426399
1681416236344,sensor,all,0,20,90773673,80478631,2985483941,2985483941
1681416236344,sensor,all,0,6,3277205,11137550,2985436816,2985436816
1681416236344,sensor,all,0,7,21065,156990,2985490060,2985490060
1681416236344,sensor,all,0,21,81868,403968,2985483513,2985483513
1681416236344,sensor,all,0,8,85269,326968,2985541076,2985541076
1681416236344,sensor,all,0,9,99446,366485,2985523195,2985523195
1681416236344,sensor,all,0,11,341561,915020,2985521887,2985521887
1681416236344,sensor,all,0,10,53709,243228,2985584786,2985584786
1681416237344,sensor,all,0,13,7184245,9330991,3985714865,3985714865
1681416237344,sensor,all,0,12,429204,1549448,3985692586,3985692586
1681416237344,sensor,all,0,15,171752,820692,3985685691,3985685691
1681416237344,sensor,all,0,14,2167212,7500082,3985683331,3985683331
1681416237344,sensor,all,0,17,104011,468870,3985691095,3985691095
1681416237344,sensor,all,0,0,2308846,3288922,3985686817,3985686817
1681416237344,sensor,all,0,16,112913,380120,3985742215,3985742215
1681416237344,sensor,all,0,1,923321,1740366,3985749253,3985749253
1681416237344,sensor,all,0,19,2257380,11053575,3985741886,3985741886
1681416237344,sensor,all,0,2,432467,2752321,3985746261,3985746261
1681416237344,sensor,all,0,18,72054,373311,3985732652,3985732652
1681416237344,sensor,all,0,3,278728,616924,3985783182,3985783182
1681416237344,sensor,all,0,22,215064,719989,3985840139,3985840139
1681416237344,sensor,all,0,4,1477887,6935244,3985785111,3985785111
1681416237344,sensor,all,0,5,113677,376243,3985857973,3985857973
1681416237344,sensor,all,0,23,54414,292945,3985846676,3985846676
1681416237344,sensor,all,0,20,156715223,170559806,3985959356,3985959356
1681416237344,sensor,all,0,6,3222816,10952080,3985891715,3985891715
1681416237344,sensor,all,0,7,29665,166678,3985978509,3985978509
1681416237344,sensor,all,0,21,73290,351480,3985972604,3985972604
1681416237344,sensor,all,0,8,28340,158612,3986029370,3986029370
1681416237344,sensor,all,0,9,91110,348411,3986013626,3986013626
1681416237344,sensor,all,0,11,309953,759170,3986013557,3986013557
1681416237344,sensor,all,0,10,55639,240787,3986085746,3986085746
1681416238345,sensor,all,0,13,7075911,9138938,4986092137,4986092137
1681416238345,sensor,all,0,12,372210,1606571,4986065484,4986065484
1681416238345,sensor,all,0,15,285194,1150615,4986060539,4986060539
1681416238345,sensor,all,0,14,1161352,4163531,4986068559,4986068559
1681416238345,sensor,all,0,17,75319,330662,4986064368,4986064368
1681416238345,sensor,all,0,0,2164418,3295386,4986042233,4986042233
1681416238345,sensor,all,0,16,82531,238342,4986095397,4986095397
1681416238345,sensor,all,0,1,681638,1202842,4986083193,4986083193
1681416238345,sensor,all,0,19,2119052,7403820,4986080486,4986080486
1681416238345,sensor,all,0,2,452887,2884531,4986080513,4986080513
1681416238345,sensor,all,0,18,212300,707197,4986019568,4986019568
1681416238345,sensor,all,0,3,282460,637651,4986021119,4986021119
1681416238345,sensor,all,0,22,273759,913342,4986072271,4986072271
1681416238345,sensor,all,0,4,1506270,7106727,4986018525,4986018525
1681416238345,sensor,all,0,5,112690,418648,4986084052,4986084052
1681416238345,sensor,all,0,23,46129,182115,4986073200,4986073200
1681416238345,sensor,all,0,20,90731791,78133937,4986142051,4986142051
1681416238345,sensor,all,0,6,3314361,11155298,4986085627,4986085627
1681416238345,sensor,all,0,7,30695,203635,4986133980,4986133980
1681416238345,sensor,all,0,21,66958838,90150317,4986136272,4986136272
1681416238345,sensor,all,0,8,29809,197648,4986184736,4986184736
1681416238345,sensor,all,0,9,108394,392262,4986166931,4986166931
