minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1,cp
1054,10.118837581905083,5.876476995898125,9.025384519998987,10.446823322533888,
1055,6.883457766837877,7.324977206329869,5.169925147744474,11.748072330026757,
1056,8.571434005934629,7.256914313695741,5.808763857147666,12.308808767421652,
1057,8.69213573820498,8.31374896996946,8.157726998230974,12.45371157806568,
1058,6.708466188916531,6.856117335530392,4.46987761997304,10.483260385798184,
1059,5.882394739632634,5.362940450784058,3.811920001701806,8.689831210440198,
1060,9.165513892184988,6.598711125416343,7.885591414446491,12.715807917936997,
1061,7.8381227567260865,6.725750478563024,5.256886669181369,11.687818856697282,
1062,7.544986845660188,6.391921348917338,4.113601875854872,10.819764472016809,
1063,7.258644055942328,5.249042449114075,3.2362055854947562,7.889857159512788,
1064,6.913795917599265,6.092383524437705,2.3234929401414393,9.424092044876929,
1065,9.317699130533168,7.671611484561166,2.4562125554278134,12.450754615873764,
