minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
574,20.53625766499374,57.14940583712452,40.90487202922342,10.258570780940014
575,17.990402551036944,58.62064767269,42.89642470283035,10.842301738909008
576,20.194817588789736,65.04119090126555,37.25125688984248,10.371811774153532
577,22.78104433413263,66.04941055894552,34.467139368971296,8.43137061078215
578,24.527790010418695,62.66700922603454,30.912220048751827,9.655674679954245
579,21.253168089099486,59.51664530691054,33.04068037719992,13.286040622627821
580,18.603776772725706,67.19276184302862,28.91718375020409,15.554169537934772
581,16.838174792311555,69.48370953495916,25.715076694247642,17.465905999646907
582,17.45925497499246,72.13672248825445,21.7727715575575,14.448202419653636
583,18.677228875339175,72.9282799974833,22.961380975080814,13.789805026128345
584,22.33922298436895,71.51539532609426,25.45554719210108,10.871249660653982
585,24.32186696243796,67.88092310700978,26.697676171524478,9.331399583599476
