minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
574,1.9779504166666664,6.228811116666668,2.4982376666666672,1.261202683333333
575,1.9999456166666663,5.7562628166666645,2.8904446999999993,1.2347732
576,2.3904662833333337,6.821990133333333,2.8250877666666656,1.4524723833333335
577,1.575578616666667,7.515148316666669,2.893869833333333,1.1131195333333335
578,2.0635999666666667,7.952913733333335,3.1697383833333332,1.3160945666666668
579,2.1659651333333327,5.418003766666671,2.4998736166666666,1.1868184166666667
580,2.443740733333333,8.644431916666667,2.286919466666667,1.0643765000000003
581,2.4553476999999995,6.893381533333334,3.3410496166666666,1.1266206833333334
582,2.5801623499999997,6.687957149999997,3.1007649833333333,1.2640866333333334
583,2.20764995,6.732891750000001,2.6672425000000004,1.2891078500000002
584,2.6224578999999997,7.864553600000003,2.601050316666667,1.1094051666666664
585,2.291328299999999,5.740471616666663,2.3903152500000004,0.8988555666666669
