timestamp,ipmi
2023-04-06 15:53:57.951212938,165
2023-04-06 15:53:58.953270672,185
2023-04-06 15:53:59.953927386,153
2023-04-06 15:54:00.954254653,99
2023-04-06 15:54:01.958046334,106
2023-04-06 15:54:02.956162809,145
2023-04-06 15:54:03.962990483,112
2023-04-06 15:54:04.957973172,98
2023-04-06 15:54:05.959033252,99
2023-04-06 15:54:06.959479229,103
2023-04-06 15:54:07.959895295,111
2023-04-06 15:54:08.960146639,107
2023-04-06 15:54:09.960331187,101
2023-04-06 15:54:10.960181894,105
2023-04-06 15:54:11.961983507,91
2023-04-06 15:54:12.966614608,97
2023-04-06 15:54:13.966321964,90
2023-04-06 15:54:14.963053079,96
2023-04-06 15:54:15.964207309,91
2023-04-06 15:54:16.963583683,97
2023-04-06 15:54:17.964435478,109
2023-04-06 15:54:18.966112257,106
2023-04-06 15:54:19.969056666,96
2023-04-06 15:54:20.967396832,97
2023-04-06 15:54:21.967548266,93
2023-04-06 15:54:22.977230837,98
2023-04-06 15:54:23.969461918,93
2023-04-06 15:54:24.969673474,99
2023-04-06 15:54:25.969841325,108
2023-04-06 15:54:26.970054374,108
2023-04-06 15:54:27.97034744,102
2023-04-06 15:54:28.971351931,99
2023-04-06 15:54:29.971864553,100
2023-04-06 15:54:30.972651317,98
2023-04-06 15:54:31.976474888,90
2023-04-06 15:54:32.98066726,97
2023-04-06 15:54:33.979505617,102
2023-04-06 15:54:34.976267988,100
2023-04-06 15:54:35.975707496,103
2023-04-06 15:54:36.975857442,104
2023-04-06 15:54:37.976832516,103
2023-04-06 15:54:38.979135151,103
2023-04-06 15:54:39.979932233,94
2023-04-06 15:54:40.979233047,96
2023-04-06 15:54:41.984499731,92
2023-04-06 15:54:42.980384108,106
2023-04-06 15:54:43.980366377,97
2023-04-06 15:54:44.980792311,100
2023-04-06 15:54:45.982361242,106
2023-04-06 15:54:46.982639621,101
2023-04-06 15:54:47.982304398,92
2023-04-06 15:54:48.983361879,96
2023-04-06 15:54:49.984363993,93
2023-04-06 15:54:50.993869849,108
2023-04-06 15:54:51.985922538,89
2023-04-06 15:54:52.986873875,95
2023-04-06 15:54:53.987281995,101
2023-04-06 15:54:54.998665587,102
2023-04-06 15:54:55.988864606,104
2023-04-06 15:54:56.988585336,102
2023-04-06 15:54:57.989481199,99
2023-04-06 15:54:58.990788554,104
2023-04-06 15:54:59.990663416,90
2023-04-06 15:55:00.998048531,97
2023-04-06 15:55:01.99242564,99
2023-04-06 15:55:02.992251415,101
2023-04-06 15:55:03.993857317,103
2023-04-06 15:55:04.994267019,127
2023-04-06 15:55:05.995779125,136
2023-04-06 15:55:06.994775978,128
2023-04-06 15:55:07.995731829,146
2023-04-06 15:55:08.997007459,195
2023-04-06 15:55:10.000023213,189
2023-04-06 15:55:10.995121402,209
2023-04-06 15:55:11.999139718,210
2023-04-06 15:55:13.000398502,196
2023-04-06 15:55:13.998391946,193
2023-04-06 15:55:15.000841886,195
2023-04-06 15:55:15.999798573,196
2023-04-06 15:55:17.002976477,205
2023-04-06 15:55:18.002376649,201
2023-04-06 15:55:19.014340962,199
2023-04-06 15:55:20.007481629,213
2023-04-06 15:55:21.003883495,205
2023-04-06 15:55:22.004120683,210
2023-04-06 15:55:23.014533778,221
2023-04-06 15:55:24.013225729,218
2023-04-06 15:55:25.015428535,218
2023-04-06 15:55:26.016695208,232
2023-04-06 15:55:27.014829738,241
2023-04-06 15:55:28.015352681,229
2023-04-06 15:55:29.014730606,237
2023-04-06 15:55:30.015271935,225
