minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,dd-0-0.0.1
954,2.9597322285915117,1.5413603279879762,2.8262096104227834
955,3.391282510246401,1.709732440122769,2.811758787940448
956,2.9640098147339913,1.2889040790256758,2.7531329390104364
957,5.164053734933483,1.2083594520631402,2.6160434306668794
958,,1.5940242284876533,4.656795116957259
