minutes,pyaes-0-0.0.1,image_processing-0-0.0.1,dd-0-0.0.1
1133,38.48920008856291,22.93966589466706,12.98953986079825
1134,38.96341868850327,25.846456627524653,10.164571625330598
1135,38.41239965801846,23.752208363489267,14.989219717942868
1136,42.824919816913415,28.255091135888396,13.191148602003569
1137,42.37263155732157,26.71912403874949,13.830028173543928
1138,41.82398257831436,24.61034266468326,10.710584243277342
1139,38.807289287772534,25.98678385724363,12.394204930402973
1140,37.57375538430517,29.006698049641308,8.46483325129007
1141,48.826474118342325,31.28648310957924,13.941413051297008
1142,38.444571709290024,28.470439670617676,12.784587672402688
1143,41.88761593348595,31.096919213297465,14.511556008238445
1144,32.79671596430163,33.045625549454854,12.051325439001339
1145,40.87237212484301,27.48757495525231,6.379375093953024
