minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1021,4.149747316666665,5.858873216666662,2.675501916666668,3.4974298500000005,0.0
1023,3.7333333333333334,3.183333333333333,2.0833333333333335,3.4833333333333334,0.0
1024,3.1166666666666667,3.3666666666666667,2.4,3.5833333333333335,0.0
1025,3.033333333333333,3.65,2.466666666666667,4.5,0.0
1026,3.05,3.1333333333333333,1.6166666666666667,3.3,0.0
1027,3.7666666666666666,3.8333333333333335,1.8833333333333333,6.383333333333334,0.0
1028,3.316666666666667,3.6,2.2666666666666666,4.966666666666667,0.0
1029,3.15,3.3833333333333333,2.816666666666667,5.516666666666667,0.0
1030,3.283333333333333,4.3,2.466666666666667,8.733333333333333,0.0
1031,3.5166666666666666,3.716666666666667,1.9166666666666667,5.966666666666667,0.0
1032,3.3666666666666667,5.1,2.5,5.816666666666666,0.0
1033,3.3,3.816666666666667,2.25,6.583333333333333,0.0
