minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1021,22.07142746278443,24.186429561675503,11.988267703641986,16.356521298210986,0.0
1023,22.22173741239713,23.61271049066078,11.850337331335767,20.847743490362422,0.0
1024,21.58209323433074,23.181817456236494,12.223924326193554,26.264546730552407,0.0
1025,20.868760762114345,23.436037032870022,11.614775630289948,28.279718689792308,0.0
1026,21.801074973242994,23.02729073332738,12.325190991513825,29.330167344661355,0.0
1027,20.27849251349369,21.884416545973995,10.916772687390681,34.17677922501635,0.0
1028,20.932231174647082,21.5620566972278,11.253294311712096,38.438550551478784,0.0
1029,20.07288542970962,21.50593659114122,11.02842604238127,34.51085699364949,0.0
1030,17.62814240292244,20.335682680310796,10.068832427068314,37.239181682956136,0.0
1031,19.440648042169066,21.55882353313993,10.59625622042075,35.75663774069814,0.0
1032,18.779285787219248,21.44207807989753,10.69650845745088,40.87070725113425,0.0
1033,,,,,
