minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1168,4.1624595499999995,5.967459483333337,2.6565518333333333,2.1135813999999997,0.0
1170,3.6333333333333333,3.25,2.1,2.3833333333333333,0.0
1171,3.1666666666666665,3.35,2.35,2.5166666666666666,0.0
1172,3.05,3.6666666666666665,2.533333333333333,3.1333333333333333,0.0
1173,3.033333333333333,3.1666666666666665,1.65,2.4833333333333334,0.0
1174,3.6,3.716666666666667,1.8666666666666667,3.45,0.0
1175,3.2666666666666666,3.5166666666666666,2.2666666666666666,3.05,0.0
1176,3.1,3.3333333333333335,2.7666666666666666,3.683333333333333,0.0
1177,3.15,4.15,2.4166666666666665,5.283333333333333,0.0
1178,3.3833333333333333,3.6,1.8666666666666667,3.783333333333333,0.0
1179,3.35,4.983333333333333,2.4833333333333334,3.95,0.0
1180,3.183333333333333,3.716666666666667,2.216666666666667,3.65,0.0
