minutes,video_processing-0-0.0.1,pyaes-0-0.0.1,model_training-0-0.0.1
1288,5.876666858513289,13.158315212123767,18.877943239805973
1289,16.182789893754972,13.406344180438822,14.553084503353134
1290,11.591965027574563,9.789980810774015,27.700489013898085
1291,16.041194177311468,11.240195704330738,17.178301416641016
1292,20.602156527413296,8.832775416746554,19.631246140774785
1293,13.518285868491335,8.816124371694768,20.192160317175215
1294,24.118990584358997,11.57826622416022,16.692176218011877
1295,16.574367408172833,15.783216016709847,18.00673523713431
1296,19.902264656053134,10.410464542720081,18.809475449544525
1297,20.25167877226073,14.963908464850908,20.86071810215046
1298,15.314761827653388,6.344126175660466,21.745854579046252
1299,12.099465277621823,20.259982459087688,11.9623441988345
