seconds,VDD_GPU_SOC_current,VDD_CPU_CV_current,VIN_SYS_5V0_current,VDDQ_VDD2_1V8AO_current,tegra,igpm,voltage,current,power_factor,discard,load_avg_1minute,cpu_pct,cpu_pct_process
70957,4.757,0.792,3.617,0.703,9.869,12.824,,,,,2.16,,0.0
70958,4.757,0.792,3.617,0.702,9.868411764705883,12.824,,,,,2.16,,0.0
70959,4.757,0.792,3.611,0.702,9.86548401826484,12.824,120.95,0.13981,0.7584,0.0,2.16,,0.0
70960,4.757,0.792,3.611,0.702,9.8641085669167,12.824,120.95,0.13981,0.7584,0.0,2.16,0.0,0.0
70961,4.757,0.792,3.611,0.702,9.863348202372796,13.479859146803216,120.95,0.14262,0.8009,0.0,2.16,0.0,0.0
70962,4.757,0.792,3.617,0.703,9.8652698177936,12.70653641973518,121.04,0.23355,0.5845,0.0,2.1375,,0.0
70963,4.757,0.792,3.623,0.703,9.868450843609903,12.909728189326268,120.92,0.22882,0.5845,0.0,2.115,,0.0
70964,4.757,0.792,3.611,0.702,9.866397202185565,12.767070172178704,120.93,0.16382,0.4045,0.0,2.0925,,0.0
70965,4.757,0.792,3.611,0.702,9.86502257016976,11.848724710280562,120.97,0.17796,0.4857,0.0,2.07,0.0,0.0
70966,4.757,0.792,3.611,0.702,9.864089440515695,13.245982484793862,120.9,0.22663,0.5735,0.0,2.07,0.0,0.0
70967,4.757,0.792,3.511,0.702,9.832844799722833,12.684400542189714,121.15,0.23643,0.5651,0.0,2.0475,,0.0
70968,4.757,0.792,3.617,0.703,9.843843597322426,10.798713471944852,120.97,0.17238,0.4136,0.0,2.025,,0.0
70969,4.757,0.792,3.918,0.703,9.942647822485709,11.550038699232557,120.98,0.16551,0.4099,0.0,2.0025,,0.0
70970,4.757,0.792,3.912,0.702,10.009204881067909,11.728987271438895,121.21,0.17808,0.4269,0.0,1.98,0.0,0.0
70972,4.757,0.792,3.912,0.702,10.055563507176503,12.736165871460575,121.07,0.2031,0.5062,0.0,1.9625,,0.0
70973,4.757,0.792,3.912,0.702,10.087901925063186,13.536971430677642,121.04,0.25737,0.5937,0.0,1.9449999999999998,,0.0
70974,4.757,0.792,3.912,0.702,10.110483880062212,15.710281643724619,120.99,0.1336,0.7728,0.0,1.9275,,0.0
70975,4.757,0.792,3.924,0.704,10.130471263770966,13.689006921939486,121.2,0.13594,0.7776,0.0,1.91,0.0,0.0
70976,4.757,0.792,4.019,0.702,10.172377653293852,12.397158761847367,121.21,0.1886,0.5165,0.0,1.91,0.0,0.0
70977,4.757,0.792,3.912,0.702,10.169562110720468,12.556282798722815,121.22,0.22757,0.5367,0.0,1.91,,0.0
70978,4.757,0.792,3.912,0.702,10.167592377317883,12.537266419973253,121.2,0.23602,0.5435,0.0,1.91,,0.0
70979,4.757,1.188,4.113,0.802,10.375395911585743,12.56466699743561,121.2,0.22331,0.5736,0.0,1.91,,0.0
70980,4.757,1.188,4.119,0.803,10.522917512924362,12.438399516084255,121.19,0.21934,0.5703,0.0,1.91,9.0,0.0
70981,4.757,1.188,4.025,0.703,10.567950886596234,14.483515693811968,121.16,0.14167,0.7953,0.0,1.91,9.0,0.0
70982,4.757,1.188,4.012,0.702,10.59526928420194,13.433138518084236,120.93,0.14278,0.7962,0.0,2.0124999999999997,,0.0
70983,4.757,1.188,4.012,0.702,10.614390293922385,13.922871458192027,121.15,0.13558,0.7742,0.0,2.1149999999999998,,0.0
70984,4.757,0.792,3.711,0.702,10.418660343868268,13.875680437111905,121.19,0.13776,0.7704,0.0,2.2175,,0.0
70985,4.757,0.792,3.611,0.702,10.251654558666516,12.946064872950567,121.21,0.13045,0.765,0.0,2.32,19.0,0.0
70986,4.757,0.792,3.516,0.602,10.076252543286973,13.509498075995431,121.18,0.14304,0.7958,0.0,2.32,19.0,0.0
70988,4.361,0.792,3.516,0.602,9.834671335219825,13.084021073249964,121.16,0.13881,0.7858,0.0,2.2866666666666666,,0.0
70989,4.757,0.792,3.511,0.601,9.78256911260907,12.878192159687316,121.14,0.13227,0.7734,0.0,2.2533333333333334,,0.0
70990,4.757,0.792,3.511,0.601,9.746097976029022,13.082971937540924,121.16,0.13322,0.7733,0.0,2.22,0.0,0.0
70991,4.757,0.792,3.511,0.702,9.750868620102136,13.399608162203576,121.16,0.1382,0.7864,0.0,2.22,0.0,0.0
70992,4.757,0.792,3.511,0.601,9.72390788816822,12.876209719745079,121.16,0.13286,0.7734,0.0,2.1950000000000003,,0.0
70993,4.757,0.792,3.516,0.703,9.737135571826693,12.830417353710793,121.14,0.13117,0.7685,0.0,2.17,,0.0
70994,4.757,0.792,3.516,0.702,9.746094924036477,13.936497506625962,121.11,0.15248,0.7661,0.0,2.145,,0.0
70995,4.757,0.792,3.611,0.702,9.780866511368957,12.991335751340893,121.12,0.1313,0.7689,0.0,2.12,0.0,0.0
70996,4.757,0.792,3.511,0.702,9.77520655060401,12.886475713896948,121.14,0.13274,0.7721,0.0,2.12,0.0,0.0
70997,4.757,0.792,3.511,0.702,9.771244581819223,12.75148621890666,121.17,0.13783,0.7768,0.0,2.0975,,0.0
70998,4.757,0.792,3.516,0.703,9.770271206653726,12.280912641159489,121.12,0.22987,0.5831,0.0,2.075,,0.0
70999,4.757,0.792,3.522,0.703,9.77138984515616,10.296461565142392,121.14,0.17094,0.4665,0.0,2.0524999999999998,,0.0
71000,4.757,0.792,3.611,0.702,9.798572900089704,11.023069021790686,121.17,0.17523,0.4867,0.0,2.03,0.0,0.0
71001,4.757,0.792,3.511,0.702,9.78760102766674,10.794878272131944,121.16,0.1667,0.4384,0.0,2.03,0.0,0.0
71002,4.757,0.792,3.511,0.702,9.779920718192653,11.664945873138878,121.17,0.17611,0.4924,0.0,2.01,,0.0
71003,4.757,0.792,3.511,0.702,9.774544502159564,11.255876704140645,121.17,0.18542,0.5075,0.0,1.9899999999999998,,0.0
71004,4.757,0.792,3.617,0.703,9.802881153634246,14.80552722666417,121.18,0.14018,0.7826,0.0,1.97,,0.0
71005,4.757,0.792,3.617,0.703,9.822716808584023,13.001904887122068,121.2,0.13,0.7619,0.0,1.95,0.0,0.0
71006,4.757,0.792,3.611,0.702,9.834501766441363,13.552814363398006,121.16,0.14484,0.7791,0.0,1.95,0.0,0.0
71007,4.757,0.792,3.611,0.702,9.842751236720904,13.267802728651862,121.15,0.1435,0.7965,0.0,1.9233333333333333,,0.0
71009,4.757,0.792,3.611,0.702,9.848525865808488,12.99547259990935,121.18,0.13111,0.7677,0.0,1.8966666666666667,,0.0
71010,4.757,0.792,3.611,0.702,9.852568106116832,13.637183971238235,121.17,0.14324,0.8032,0.0,1.87,0.0,0.0
71011,4.757,0.792,3.617,0.703,9.857497674325225,13.3503200714943,121.19,0.13522,0.7776,0.0,1.87,0.0,0.0
71012,4.757,1.98,4.22,1.004,10.488548375920441,13.480066249165782,121.2,0.13474,0.7357,0.0,1.8525,,0.0
71013,4.757,1.188,3.711,0.702,10.449383862975191,17.111222506424706,121.12,0.17679,0.8642,0.0,1.835,,0.0
71014,4.757,0.792,3.611,0.702,10.27316870354999,14.002967023792571,121.18,0.10434,0.5757,0.0,1.8175000000000001,,0.0
71015,4.757,0.792,3.611,0.702,10.149818092223997,13.511569282412598,121.14,0.21083,0.5516,0.0,1.8,2.0,0.0
71016,4.757,0.792,3.611,0.702,10.063472664428911,12.322516974707264,121.19,0.20471,0.4566,0.0,1.8,2.0,0.0
71017,4.757,0.792,3.617,0.703,10.005130865039751,12.237597625627213,121.17,0.1817,0.4148,0.0,1.7825,,0.0
71018,4.755,1.188,3.711,0.702,10.110391605604217,14.019868889913097,121.12,0.24407,0.5866,0.0,1.7650000000000001,,0.0
71019,4.757,1.188,3.812,0.802,10.244974123991321,14.729432040468135,121.13,0.21302,0.5142,0.0,1.7475,,0.0
71020,5.152,4.753,4.622,1.203,11.890481887379094,13.311234732916395,121.17,0.18385,0.4204,0.0,1.73,2.0,0.0
71021,5.152,5.15,4.722,1.306,13.222337321496907,15.222401659373228,121.09,0.25554,0.5959,0.0,1.73,2.0,0.0
71022,5.152,5.546,4.521,1.306,14.213136125220483,12.460894368415513,120.92,0.1647,0.4055,0.0,1.7774999999999999,,0.0
71023,5.154,5.152,4.428,1.207,14.731495287717568,13.781058637856564,120.91,0.21438,0.476,0.0,1.825,,0.0
71024,5.154,4.359,4.521,1.205,14.883746701415298,17.683528678949365,120.95,0.16513,0.7439,0.0,1.8725,,0.0
71025,5.152,5.546,4.521,1.304,15.3755226910201,14.397658935815743,121.12,0.13328,0.7739,0.0,1.92,26.0,0.0
71026,5.154,5.942,4.622,1.203,15.839165883733468,18.956847410489356,121.09,0.29053,0.5898,0.0,1.92,26.0,0.0
71027,5.152,4.753,4.521,1.203,15.776116118611581,14.386669163258492,121.14,0.20354,0.5393,0.0,1.98,,0.0
71028,5.152,4.753,4.528,1.205,15.734681283027257,12.435508436098361,121.15,0.18474,0.4351,0.0,2.04,,0.0
71029,5.152,5.546,4.528,1.207,15.944176898122086,14.014353875507219,121.15,0.21865,0.5518,0.0,2.1,,0.0
71030,5.154,5.548,4.521,1.205,16.089323828686915,11.919403275509282,120.93,0.19958,0.4686,0.0,2.16,28.0,0.0
71031,5.154,3.963,4.421,1.103,15.654826680077786,14.03193172644978,120.93,0.21736,0.5515,0.0,2.16,28.0,0.0
71032,5.154,2.774,4.22,1.003,14.90367867605075,12.248474817520592,120.96,0.16517,0.4112,0.0,2.1975000000000002,,0.0
71033,4.757,1.188,3.812,0.802,13.600275073231034,11.758369703686693,120.98,0.16117,0.4094,0.0,2.2350000000000003,,0.0
71034,4.757,0.792,3.617,0.703,12.480892551259021,12.835665065855174,120.95,0.23494,0.5482,0.0,2.2725,,0.0
71035,4.757,0.792,3.617,0.703,11.697324785879992,13.322269982311827,120.94,0.21078,0.549,0.0,2.31,11.0,0.0
71037,4.757,2.377,4.119,1.003,11.864927350116192,12.981100269254013,120.94,0.23174,0.5784,0.0,2.345,,0.0
71038,5.154,3.566,4.32,1.103,12.5483491450819,12.625151204647889,120.94,0.23692,0.5487,0.0,2.38,,0.0
71039,5.154,3.963,4.421,1.203,13.20614440155771,12.328648904235958,120.98,0.16736,0.4696,0.0,2.415,,0.0
71040,5.154,2.774,4.22,1.003,13.18960108109039,12.708078201907055,120.94,0.22078,0.5217,0.0,2.45,11.0,0.0
71041,5.154,2.377,4.226,1.006,13.061620756763235,15.195443576277885,120.95,0.15411,0.814,0.0,2.45,11.0,0.0
71042,5.156,2.378,4.22,0.904,12.94053452973424,12.08247810266432,120.99,0.17624,0.4145,0.0,2.4400000000000004,,0.0
71043,5.154,2.774,4.32,1.003,13.033674170813981,13.677744592449702,120.93,0.23786,0.59,0.0,2.43,,0.0
71044,5.154,3.566,4.421,1.103,13.396771919569822,12.507426156647174,120.96,0.16624,0.4396,0.0,2.42,,0.0
71045,5.154,4.755,4.421,1.203,14.037640343698918,14.058341420210986,120.89,0.2587,0.5961,0.0,2.41,12.0,0.0
71046,5.154,4.755,4.521,1.203,14.516248240589263,12.683430134992658,120.93,0.22766,0.5213,0.0,2.41,12.0,0.0
71047,5.154,4.359,4.528,1.207,14.735773768412495,14.706106025411737,120.9,0.25084,0.5671,0.0,2.4625000000000004,,0.0
