minutes,cnn_image_classification-0-0.0.1,dd-0-0.0.1,image_processing-0-0.0.1
1078,21.042778781121573,5.3104665203005155,16.815572146747463
1079,27.993187321245284,15.051411642187452,33.11981802168925
1080,34.67503901105072,17.06205964612665,28.332676471130814
1081,44.59279078045482,15.456391149371212,25.283998810253173
1082,44.5261056784576,10.884311350849568,26.94939815656637
1083,56.027759815001275,10.879879303397862,29.556193248932917
1084,42.91517316024261,14.756275465668537,29.09089646357149
1085,52.158883377345724,15.964218430261628,24.736151962927032
1086,65.97658296262128,12.88105442357417,24.500935135815926
1087,44.2227284944422,11.4975588297842,28.030089267731956
1088,45.83889864531786,14.081940478274735,24.416989308422558
1089,54.023989186068206,12.686745997098994,21.445188250451242
