minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
1113,49.47247533932599,42.456359789278515,25.360197538799746,0.0
1115,54.5987764032513,45.284410026571706,27.2821981728909,0.0
1116,54.01987843769246,45.89163266749403,28.90792266079912,0.0
1117,53.40574168843406,46.76049105451003,28.080385295796674,0.0
1118,57.16181263341282,47.67436873362608,30.750089584681685,0.0
1119,53.739837953849246,45.303811609303736,27.29284190931255,0.0
1120,54.66667678173429,44.07827420793417,27.906324153159996,0.0
1121,56.926545450274254,42.80807976475853,27.030214525030967,0.0
1122,50.06072006083185,44.868332977438286,27.460389348476927,0.0
1123,52.42918780679039,47.188143859409045,28.17164622493862,0.0
1124,48.35769926755037,42.978635096953234,26.122026310953398,0.0
1125,,,,
