,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
0,244.86943,343.997982,157.94762200000005,0.0
1,147.37656299999998,137.57450999999998,64.673997,0.0
2,125.85972699999996,139.857171,76.87358299999998,0.0
3,123.06259300000002,152.151182,76.56528000000004,0.0
4,124.03656099999999,131.63456699999995,51.493331999999995,0.0
5,145.317763,162.298906,59.312714,0.0
6,131.17414399999998,147.58304600000002,72.262146,0.0
7,132.903593,137.45301499999997,87.43718600000003,0.0
8,125.354133,173.13894000000002,77.73074,0.0
9,135.47987700000004,153.139975,60.145383,0.0
10,130.52337400000002,211.81127300000006,79.869009,0.0
11,86.23783300000001,111.466,52.82096300000001,0.0
