,image_processing-0-0.0.1,video_processing-0-0.0.1,dd-0-0.0.1
0,190.0,550.0,150.0
1,181.0,610.0,130.0
2,188.0,593.0,139.0
3,252.0,548.0,154.0
4,131.0,423.0,95.0
