minute,tegra,igpm
1343,12.336603326763955,12.905565940257128
1344,13.1412346809877,11.724948271506786
1345,13.15905449692026,11.4226161689336
1346,13.338776701765456,11.672589242817207
1347,13.4134769939216,12.448128844090059
1348,13.205070028150532,12.096184332562288
1349,12.977782344815164,12.499488181591373
1350,13.253994063062656,11.560635942129018
1351,13.332272858946434,11.786428778947874
1352,13.500003986228508,11.625632755629248
1353,13.304154752345692,11.69822209257104
1354,12.9383881241596,11.54369811236598
