minutes,pyaes-0-0.0.1,dd-0-0.0.1,image_processing-0-0.0.1
1097,22.150993510681698,13.553314481008307,22.93654769381243
1098,27.26968047631051,15.120867007394857,27.99936741931444
1099,25.074808884133784,21.04059053518556,27.187060580468376
1100,31.93483407236478,13.284078029204617,23.62541728307516
1101,27.55564481979481,15.5040896001931,29.47139688542971
1102,27.350429351974537,13.257174542894486,23.72594025436463
1103,22.735600818213772,21.58988790876717,21.26335325925959
1104,27.630133757761044,16.326458858683722,22.302416127608204
1105,38.73447436416561,12.282180782899895,25.11731180997667
1106,42.301436229427004,19.519498104443013,24.86316355072318
1107,39.52447382571535,13.491252052556748,30.846700686639526
1108,19.639314017674764,18.146417994600405,26.948325634125723
