seconds,VDD_GPU_SOC_current,VDD_CPU_CV_current,VIN_SYS_5V0_current,VDDQ_VDD2_1V8AO_current,tegra,load_avg_1minute,cpu_pct,cpu_pct_process
505,4.755,0.792,4.83,0.704,11.081,1.55,,0.0
506,4.755,0.792,4.73,0.704,11.022176470588235,1.55,,0.0
507,4.755,0.792,5.14,0.805,11.236707762557078,1.55,,0.0
509,4.757,0.792,5.14,0.704,11.29841018555073,1.55,2.0,0.0
510,4.755,0.792,5.14,0.704,11.331798745086727,1.5375,,0.0
511,4.755,0.792,5.14,0.704,11.351927216039877,1.525,,0.0
512,4.755,0.792,5.14,0.704,11.364701029711142,1.5125,,0.0
513,4.755,0.792,5.132,0.704,11.370526550477175,1.5,0.0,0.0
514,4.755,0.792,5.032,0.704,11.343164424870613,1.5,0.0,0.0
515,4.755,0.792,4.931,0.704,11.293409648114105,1.49,,0.0
516,4.755,0.792,4.73,0.704,11.197796162662117,1.48,,0.0
517,4.755,0.792,4.73,0.704,11.131844457369127,1.47,,0.0
518,4.755,0.792,4.83,0.704,11.11644188617027,1.46,0.0,0.0
519,4.757,0.792,4.73,0.704,11.076135956202421,1.46,0.0,0.0
520,4.755,0.792,4.73,0.704,11.047459023841395,1.4525,,0.0
521,4.755,0.792,4.73,0.704,11.02745483691345,1.4449999999999998,,0.0
522,4.755,0.792,4.73,0.704,11.013485889805958,1.4375,,0.0
523,4.755,0.792,4.73,0.704,11.003724226839458,1.43,0.0,0.0
524,4.755,0.792,4.73,0.704,10.99689917898711,1.43,0.0,0.0
525,4.755,0.792,4.73,0.704,10.992125616357173,1.42,,0.0
526,4.755,0.792,4.73,0.704,10.98878606615807,1.41,,0.0
527,4.755,0.792,4.73,0.704,10.986449332689679,1.4,,0.0
528,4.755,0.792,4.73,0.704,10.984814085336058,1.39,0.0,0.0
529,4.755,0.792,4.73,0.704,10.983669640481088,1.39,0.0,0.0
531,4.755,0.792,4.73,0.704,10.982868640917223,1.38,,0.0
532,4.755,0.792,4.73,0.704,10.982307996011626,1.37,,0.0
