minutes,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1,dd-0-0.0.1,image_processing-0-0.0.1
1206,31.570467163359247,20.955897821261146,11.857413629290988,16.102125660805267
1207,23.699841454488716,23.022778053300083,13.699833335446343,27.040854322123
1208,22.11104666537448,31.940094501404936,16.70040458867683,24.180593077811757
1209,24.596994982638567,35.86227036572975,13.523899137244571,19.652073513061598
1210,23.82248789561673,38.125259198176494,12.069200218484587,21.834449197689032
1211,26.81218241455527,50.75303032116578,8.770467238450756,23.35806213833822
1212,26.39941038155519,40.33103915128373,16.879498884642853,24.732230853863268
1213,19.431491461022862,30.782646615282314,15.666063938856922,17.660869993042922
1214,20.69397655433863,33.5660378528894,10.007254191334491,19.994279277839457
1215,27.129618981292232,36.30631302005323,12.115025307012308,18.983769450578336
1216,36.79117271931996,29.382809928972712,12.389256257458463,24.82278405877391
1217,34.32359037468044,38.56944489458455,13.419307201029365,22.836318155526808
