minutes,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
1229,18.277342147792275,18.15905692276215,10.508095177411104,4.9933627314593405
1230,20.02226654034491,21.29968257313247,13.215282169061549,6.121778737639982
1231,17.89622452365366,21.313485482385985,16.03988414143998,6.18251052248712
1232,15.73297853128653,23.21807271402063,15.908856878808775,6.921459596696124
1233,19.100950772334613,29.364027457109497,19.665756264780804,9.18590609495454
1234,19.089067389516636,24.56829982018136,22.948712126544223,8.294492144356482
1235,15.767258815954978,27.87724078698701,20.471604611248733,8.89161176296555
1236,16.23468062327866,32.252908724238715,21.886453447207597,7.659216769999905
1237,15.103956469625514,34.052013724532365,17.022049841712462,6.886171288690323
1238,16.68481618866048,42.51140174456276,19.708584094783244,9.018859509934613
1239,16.93435485772042,46.85244335633858,19.690366296582773,8.600308223099619
1240,13.497607281862964,48.62269878212649,19.925626932190724,9.766047737991343
