minutes,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
1229,2.275520726816322,5.306144042248419,6.910464540199428,1.3258436648385274
1230,2.5842817180252493,6.043869125764762,6.152731092085795,2.310107312963143
1231,2.663898572461431,5.817385480973599,5.983880066488465,3.095899580332148
1232,2.6490288504904624,6.2365058522776,4.894520344300242,3.3218873617545643
1233,3.82400534398661,7.469716922296449,5.146507065877523,4.532858751755083
1234,4.6481167595605735,7.335271586823786,5.121294691104841,3.614080624732455
1235,3.638973101108143,8.341492621634355,4.2683489631739695,3.75199728832265
1236,3.61722485849999,8.832836072011458,4.532449627680793,3.2222130770486843
1237,3.1762057024316523,8.738290515507911,3.219714253426518,3.290674999375494
1238,3.358278684053211,10.406457928963947,3.599531880407404,4.546491028112685
1239,3.242182324695754,11.297773198361066,3.3904158652519554,4.626436628724918
1240,2.979431432780144,12.2770986755208,3.4334069371702447,3.7117226754887396
