minutes,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
1229,23.0538669023249,27.114828110308522,19.304046775308127,9.242886154807234
1230,26.039463562057236,31.21181788494077,21.813414880716998,12.346478431815273
1231,22.758188375452608,30.788180745840673,25.652656903599258,13.554621395811917
1232,21.2413721568342,34.50366245138304,22.716511271074083,14.538699857016917
1233,26.61743119421848,44.37659565799811,27.183592590982315,19.151860179222968
1234,27.977053591640797,39.432127774465535,30.737017791936,16.311245346277264
1235,22.67166232713846,46.545757007206205,26.052562007144857,17.10396210728225
1236,23.46451318824466,53.48788226166519,28.196212693066286,14.791191215427373
1237,21.930510526168565,55.46837255192366,22.471101656506946,13.658263467794123
1238,23.833873498937123,69.72955032888744,25.711166839586657,18.073650998254074
1239,23.40357703166991,78.02123196590009,25.223144808952565,17.148174099220203
1240,18.479274490008518,82.13189719108543,25.73506841225312,17.397137030618797
