minutes,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
1229,1.4588374333333336,1.839568033333333,1.2832433333333337,0.9229244666666667
1230,2.1884096166666662,2.6302561833333327,1.2148759,1.4470389833333333
1231,1.748141416666667,2.7886414,1.8773814166666665,1.0899804166666667
1232,1.3100039,3.3253873166666668,1.061678366666667,0.9522239166666666
1233,2.1120694666666666,5.1094012,1.6517765499999997,1.53745485
1234,2.2736674333333338,4.030752916666667,2.6082432999999994,1.4333620000000002
1235,1.701433016666667,4.909180283333333,1.8723330666666667,1.0546797833333332
1236,2.373133033333333,5.461954983333333,2.576698283333335,0.9882741833333334
1237,1.5202504499999998,4.3913737500000005,1.8744362333333333,1.2430145000000001
1238,1.924731416666667,6.535893316666667,1.9143872499999997,1.4012919166666669
1239,1.7011549666666668,7.181882383333332,1.4758944833333334,1.5878847500000002
1240,1.1352076833333336,4.13655965,1.39991745,0.9469467166666666
