minutes,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
1229,2.2666666666666666,2.5833333333333335,2.05,1.9
1230,3.25,3.466666666666667,1.9333333333333333,2.7333333333333334
1231,2.55,3.6,2.85,2.1333333333333333
1232,2.05,4.116666666666666,1.6333333333333333,2.0166666666666666
1233,2.966666666666667,6.016666666666667,2.35,2.6
1234,3.183333333333333,4.8,3.6,2.4833333333333334
1235,2.4833333333333334,5.716666666666667,2.75,1.7666666666666666
1236,3.283333333333333,6.366666666666666,3.6166666666666667,1.7333333333333334
1237,2.183333333333333,5.083333333333333,2.7666666666666666,2.183333333333333
1238,2.7333333333333334,7.283333333333333,2.5833333333333335,2.216666666666667
1239,2.3333333333333335,7.916666666666667,2.05,2.466666666666667
1240,1.55,4.483333333333333,1.9333333333333333,1.6
