,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
0,87.53024600000002,110.37408199999999,76.99460000000002,55.375468000000005
1,131.30457699999997,157.81537099999997,72.892554,86.822339
2,104.88848500000002,167.31848399999998,112.64288499999999,65.398825
3,78.600234,199.52323900000002,63.700702000000014,57.133435
4,126.72416799999999,306.564072,99.10659299999998,92.247291
5,136.420046,241.845175,156.49459799999997,86.00172000000002
6,102.08598100000002,294.550817,112.339984,63.280787
7,142.387982,327.717299,154.6018970000001,59.296451000000005
8,91.21502699999999,263.48242500000003,112.466174,74.58087
9,115.48388500000001,392.153599,114.86323499999997,84.077515
10,102.069298,430.9129429999999,88.553669,95.27308500000001
11,68.11246100000001,248.193579,83.995047,56.816803
